Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCR053W,YMR250W,1,5.4949,1.0,0.000994035741314292,0.0
YNL069C,YLR178C,0,5.4668984,0.5,0.000994035741314292,0.00010006003867601976
YNL061W,YDL204W,0,5.191198,0.3333333432674408,0.000994035741314292,0.00020012007735203952
YOR374W,YOL080C,0,5.148359,0.25,0.000994035741314292,0.00030018010875210166
YHR197W,YLR178C,0,5.0754256,0.20000000298023224,0.000994035741314292,0.00040024015470407903
YLR196W,YKL148C,0,5.07161,0.1666666716337204,0.000994035741314292,0.0005003002006560564
YLR270W,YPR145W,0,4.9675164,0.1428571492433548,0.000994035741314292,0.0006003602175042033
YKL148C,YBR079C,0,4.9665236,0.125,0.000994035741314292,0.0007004202343523502
YPL262W,YHL001W,0,4.91086,0.1111111119389534,0.000994035741314292,0.0008004803094081581
YPL090C,YAL034C,0,4.869617,0.10000000149011612,0.000994035741314292,0.000900540326256305
YIL160C,YHR089C,0,4.858916,0.09090909361839294,0.000994035741314292,0.0010006004013121128
YFR053C,YOR294W,0,4.851143,0.0833333358168602,0.000994035741314292,0.0011006604181602597
YLR359W,YGL196W,1,4.832342,0.1538461595773697,0.001988071482628584,0.0011006604181602597
YCR083W,YLR175W,0,4.8196235,0.1428571492433548,0.001988071482628584,0.0012007204350084066
YML042W,YOL064C,0,4.784409,0.13333334028720856,0.001988071482628584,0.0013007804518565536
YGL187C,YOR063W,0,4.7779994,0.125,0.001988071482628584,0.0014008404687047005
YDL085W,YDR098C,0,4.74176,0.11764705926179886,0.001988071482628584,0.0015009004855528474
YGL148W,YGL196W,1,4.6909723,0.1666666716337204,0.0029821074567735195,0.0015009004855528474
YML004C,YLR044C,1,4.5730414,0.21052631735801697,0.003976142965257168,0.0015009004855528474
YBL099W,YDL082W,0,4.534851,0.20000000298023224,0.003976142965257168,0.0016009606188163161
YCR053W,YGL196W,1,4.509203,0.2380952388048172,0.004970178939402103,0.0016009606188163161
YKR058W,YHR064C,0,4.507523,0.22727273404598236,0.004970178939402103,0.001701020635664463
YOR036W,YLR249W,0,4.4736214,0.21739129722118378,0.004970178939402103,0.00180108065251261
YGR159C,YDL142C,0,4.434166,0.2083333283662796,0.004970178939402103,0.0019011406693607569
YOR063W,YOR382W,0,4.418198,0.20000000298023224,0.004970178939402103,0.0020012008026242256
YNR002C,YGR078C,0,4.41367,0.19230769574642181,0.004970178939402103,0.0021012607030570507
YER117W,YLR178C,0,4.4026914,0.18518517911434174,0.004970178939402103,0.0022013208363205194
YBL072C,YMR175W,0,4.3625712,0.1785714328289032,0.004970178939402103,0.0023013807367533445
YDL222C,YGR027C,0,4.3535028,0.17241379618644714,0.004970178939402103,0.0024014408700168133
YFR031C-A,YOR100C,0,4.336814,0.1666666716337204,0.004970178939402103,0.002501501003280282
YKL060C,YGL196W,1,4.3332505,0.19354838132858276,0.005964214913547039,0.002501501003280282
YMR300C,YFL030W,0,4.3326526,0.1875,0.005964214913547039,0.002601560903713107
YMR250W,YNR043W,1,4.332562,0.21212121844291687,0.006958250422030687,0.002601560903713107
YGR155W,YKR009C,1,4.2925143,0.23529411852359772,0.007952285930514336,0.002601560903713107
YBL045C,YDL061C,0,4.289982,0.22857142984867096,0.007952285930514336,0.002701621036976576
YML004C,YER086W,1,4.2645087,0.25,0.008946321904659271,0.002701621036976576
