,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YER102W YCL011C,0.0,3_3,4.272005224573266e-38,325,3249,1,0,0.09118881118881118,0.09093452714045887,1.0,0.9996923076923077,0.0003076923076923077
1,YJL177W YIL069C,0.0,3_3,9.490593166991803e-38,325,3248,2,0,0.09146853146853147,0.09095997760985167,1.0,0.9993846153846154,0.0006153846153846154
2,YNL075W YDL209C,0.0,3_3,4.71200935504719e-36,325,3247,3,0,0.09174825174825176,0.09098544232922733,1.0,0.9990769230769231,0.0009230769230769231
3,YAL062W YPL226W,0.0,3_3,2.607854593299955e-35,325,3246,4,0,0.09202797202797203,0.09101092131055727,1.0,0.9987692307692307,0.0012307692307692308
4,YML026C YDL082W,0.0,3_3,2.927306375587006e-35,325,3245,5,0,0.09230769230769231,0.09103641456582633,1.0,0.9984615384615385,0.0015384615384615385
5,YOR315W YGR078C,0.0,3_3,1.395283095833506e-34,325,3244,6,0,0.09258741258741258,0.09106192210703279,1.0,0.9981538461538462,0.0018461538461538461
6,YGR034W YJL178C,0.0,3_3,4.4579112561023455e-34,325,3243,7,0,0.09286713286713287,0.09108744394618834,1.0,0.9978461538461538,0.0021538461538461538
7,YCL037C YLR298C,0.0,3_3,7.628365538708946e-34,325,3242,8,0,0.09314685314685314,0.0911129800953182,1.0,0.9975384615384615,0.0024615384615384616
8,YHR088W YHR141C,0.0,3_3,1.0939640830301691e-33,325,3241,9,0,0.09342657342657343,0.09113853056646103,1.0,0.9972307692307693,0.002769230769230769
9,YHR197W YGL200C,0.0,3_3,4.641074570775307e-31,325,3240,10,0,0.0937062937062937,0.091164095371669,1.0,0.9969230769230769,0.003076923076923077
10,YDR087C YLL046C,0.0,3_3,5.9020654469193414e-31,325,3239,11,0,0.09398601398601399,0.09118967452300786,1.0,0.9966153846153846,0.003384615384615385
11,YOL144W YMR131C,0.0,3_3,7.983773313270768e-31,325,3238,12,0,0.09426573426573427,0.09121526803255683,1.0,0.9963076923076923,0.0036923076923076922
12,YDL215C YPL079W,0.0,3_3,1.2790097939489191e-30,325,3237,13,0,0.09454545454545454,0.09124087591240876,1.0,0.996,0.004
13,YML026C YEL018W,0.0,3_3,1.694541874789454e-30,325,3236,14,0,0.09482517482517483,0.09126649817467003,1.0,0.9956923076923077,0.0043076923076923075
