Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL081W,YIL103W,1,11.002292,1.0,0.003076923079788685,0.0
YLL052C,YJL106W,0,4.0872197,0.5,0.003076923079788685,0.0003076923021581024
YGL175C,YEL022W,0,4.034563,0.3333333432674408,0.003076923079788685,0.0006153846043162048
YFR009W,YKL081W,1,3.9738772,0.5,0.00615384615957737,0.0006153846043162048
YKL086W,YJL099W,0,3.6758366,0.4000000059604645,0.00615384615957737,0.0009230769355781376
YDR139C,YOR340C,0,3.3190398,0.3333333432674408,0.00615384615957737,0.0012307692086324096
YNL185C,YJR001W,0,3.2247396,0.2857142984867096,0.00615384615957737,0.0015384615398943424
YDL231C,YMR065W,0,3.127349,0.25,0.00615384615957737,0.0018461538711562753
YIL132C,YLL005C,0,3.0743153,0.2222222238779068,0.00615384615957737,0.002153846202418208
YNL058C,YLR183C,0,2.7060835,0.20000000298023224,0.00615384615957737,0.002461538417264819
YER151C,YJL063C,0,2.4061475,0.1818181872367859,0.00615384615957737,0.002769230864942074
YPR028W,YIR023W,0,2.3194275,0.1666666716337204,0.00615384615957737,0.003076923079788685
YGR098C,YDR222W,0,2.2846768,0.1538461595773697,0.00615384615957737,0.003384615294635296
YDL130W,YIL103W,1,2.2823334,0.2142857164144516,0.009230769239366055,0.003384615294635296
YHR083W,YNL323W,0,2.258955,0.20000000298023224,0.009230769239366055,0.0036923077423125505
YNL163C,YKL152C,0,2.1511722,0.1875,0.009230769239366055,0.004000000189989805
YAL047C,YDL015C,0,2.053728,0.1764705926179886,0.009230769239366055,0.004307692404836416
YFR009W,YPL048W,1,1.8498728,0.2222222238779068,0.01230769231915474,0.004307692404836416
YGR258C,YDR139C,0,1.7867221,0.21052631735801697,0.01230769231915474,0.004615384619683027
YMR130W,YGR214W,0,1.6973605,0.20000000298023224,0.01230769231915474,0.004923076834529638
YOL165C,YGR272C,0,1.6665212,0.190476194024086,0.01230769231915474,0.005230769049376249
YNL063W,YIL103W,1,1.6263516,0.22727273404598236,0.015384615398943424,0.005230769049376249
YPR201W,YJR138W,0,1.5464964,0.21739129722118378,0.015384615398943424,0.005538461729884148
YGR238C,YGL216W,0,1.50456,0.2083333283662796,0.015384615398943424,0.005846153944730759
YDR103W,YHR167W,0,1.4778435,0.20000000298023224,0.015384615398943424,0.00615384615957737
YHR011W,YLL005C,0,1.4626901,0.19230769574642181,0.015384615398943424,0.006461538374423981
YOR293W,YKL021C,0,1.3411878,0.18518517911434174,0.015384615398943424,0.006769230589270592
YEL060C,YCL033C,0,1.3249512,0.1785714328289032,0.015384615398943424,0.00707692326977849
YDR385W,YBL071W-A,1,1.2392731,0.2068965584039688,0.01846153847873211,0.00707692326977849
YML087C,YIL027C,0,1.2349179,0.20000000298023224,0.01846153847873211,0.007384615484625101
YLR244C,YLR132C,0,1.2230719,0.19354838132858276,0.01846153847873211,0.007692307699471712
YPR080W,YOR133W,1,1.2141081,0.21875,0.02153846062719822,0.007692307699471712
YNR044W,YNL258C,0,1.1868758,0.21212121844291687,0.02153846062719822,0.00800000037997961
YDR496C,YOR046C,0,1.1142688,0.20588235557079315,0.02153846062719822,0.008307692594826221
YGR036C,YBR213W,0,1.1141808,0.20000000298023224,0.02153846062719822,0.008615384809672832
YNR006W,YHR046C,0,1.1141502,0.1944444477558136,0.02153846062719822,0.008923077024519444
YKL015W,YFR032C-A,0,1.1125344,0.18918919563293457,0.02153846062719822,0.009230769239366055
YNL129W,YHR167W,0,1.091375,0.18421052396297455,0.02153846062719822,0.009538461454212666
YNR016C,YGL003C,0,1.0520589,0.1794871836900711,0.02153846062719822,0.009846153669059277
YFR009W,YIL103W,1,1.0049024,0.20000000298023224,0.02461538463830948,0.009846153669059277
YIL041W,YNR032W,0,0.99014765,0.19512194395065308,0.02461538463830948,0.010153845883905888
YGR020C,YML049C,0,0.9775783,0.190476194024086,0.02461538463830948,0.010461538098752499
YJL206C,YDL193W,0,0.97477245,0.1860465109348297,0.02461538463830948,0.01076923031359911
YDL130W,YLR172C,1,0.89019257,0.20454545319080353,0.02769230678677559,0.01076923031359911
YJR005W,YDL245C,0,0.8733971,0.20000000298023224,0.02769230678677559,0.011076923459768295
YOR391C,YNR072W,0,0.8635757,0.19565217196941376,0.02769230678677559,0.011384615674614906
YDR318W,YPL029W,0,0.8577187,0.19148936867713928,0.02769230678677559,0.011692307889461517
YHR123W,YNL182C,0,0.8504003,0.1875,0.02769230678677559,0.012000000104308128
YGR140W,YPR031W,0,0.83184665,0.18367347121238708,0.02769230678677559,0.01230769231915474
YOR071C,YPR079W,0,0.81732833,0.18000000715255737,0.02769230678677559,0.01261538453400135
YJR134C,YOR382W,0,0.80203843,0.1764705926179886,0.02769230678677559,0.012923076748847961
YOR255W,YDR450W,0,0.78168964,0.17307692766189575,0.02769230678677559,0.013230768963694572
YBR026C,YKL086W,0,0.7806284,0.16981132328510284,0.02769230678677559,0.013538461178541183
YJR097W,YKL081W,1,0.7637786,0.18518517911434174,0.03076923079788685,0.013538461178541183
YAL014C,YMR218C,0,0.7262907,0.1818181872367859,0.03076923079788685,0.013846153393387794
YMR016C,YOR069W,0,0.7243923,0.1785714328289032,0.03076923079788685,0.01415384653955698
YDL129W,YKL172W,0,0.6861639,0.17543859779834747,0.03076923079788685,0.014461538754403591
YJL113W,YPR028W,0,0.61024314,0.17241379618644714,0.03076923079788685,0.014769230969250202
YER054C,YDR312W,0,0.60405934,0.16949152946472168,0.03076923079788685,0.015076923184096813
YDR531W,YJL187C,0,0.5870079,0.1666666716337204,0.03076923079788685,0.015384615398943424
YDR082W,YGL021W,0,0.5823739,0.16393442451953888,0.03076923079788685,0.01569230854511261
YGR028W,YER131W,0,0.57329065,0.16129031777381897,0.03076923079788685,0.01600000075995922
YKL143W,YDR128W,0,0.56438506,0.1587301641702652,0.03076923079788685,0.016307692974805832
YGL195W,YOR133W,1,0.5619139,0.171875,0.03384615480899811,0.016307692974805832
YBR280C,YMR113W,0,0.5589097,0.16923077404499054,0.03384615480899811,0.016615385189652443
YDL045W-A,YPL281C,0,0.5543972,0.1666666716337204,0.03384615480899811,0.016923077404499054
YMR114C,YFR032C-A,0,0.5331299,0.16417910158634186,0.03384615480899811,0.017230769619345665
YBR202W,YIL050W,0,0.48314142,0.1617647111415863,0.03384615480899811,0.017538461834192276
YMR295C,YML094W,0,0.47984478,0.15942029654979706,0.03384615480899811,0.017846154049038887
YLL010C,YDR356W,0,0.47954232,0.15714286267757416,0.03384615480899811,0.018153846263885498
YMR127C,YLL005C,0,0.4050772,0.15492957830429077,0.03384615480899811,0.01846153847873211
YHR066W,YGR216C,0,0.38568854,0.1527777761220932,0.03384615480899811,0.01876923069357872
YIL040W,YNL268W,0,0.37731677,0.15068493783473969,0.03384615480899811,0.01907692290842533
YIL140W,YEL031W,0,0.3728885,0.14864864945411682,0.03384615480899811,0.019384615123271942
YER016W,YOL113W,0,0.3554864,0.14666666090488434,0.03384615480899811,0.019692307338118553
YCR003W,YHL013C,0,0.3300462,0.14473684132099152,0.03384615480899811,0.019999999552965164
YJR097W,YIL103W,1,0.3090399,0.15584415197372437,0.03692307695746422,0.019999999552965164
YHR134W,YGR262C,0,0.29337502,0.1538461595773697,0.03692307695746422,0.020307691767811775
YKL190W,YLR191W,0,0.26339576,0.15189872682094574,0.03692307695746422,0.020615383982658386
YKL191W,YBL071W-A,1,0.24378565,0.16249999403953552,0.03999999910593033,0.020615383982658386
YLR155C,YIR032C,0,0.24348992,0.16049382090568542,0.03999999910593033,0.020923076197504997
YOR329C,YBR227C,0,0.24001458,0.15853658318519592,0.03999999910593033,0.02123076841235161
YIL132C,YJL087C,0,0.2394718,0.15662650763988495,0.03999999910593033,0.02153846062719822
YIL066C,YGL155W,0,0.23703504,0.1547619104385376,0.03999999910593033,0.02184615470468998
YJR101W,YOR066W,0,0.22460341,0.15294118225574493,0.03999999910593033,0.02215384691953659
YDR047W,YGL125W,0,0.19704634,0.151162788271904,0.03999999910593033,0.0224615391343832
YOR187W,YDR382W,1,0.1744594,0.16091954708099365,0.04307692125439644,0.0224615391343832
YBL046W,YAR007C,0,0.16734871,0.15909090638160706,0.04307692125439644,0.022769231349229813
YFR009W,YHR094C,0,0.14644457,0.15730337798595428,0.04307692125439644,0.023076923564076424
YKL143W,YBR228W,0,0.1450829,0.15555556118488312,0.04307692125439644,0.023384615778923035
YLR154W-A,YER145C,0,0.13327298,0.1538461595773697,0.04307692125439644,0.023692307993769646
YBR205W,YMR159C,0,0.12575585,0.15217390656471252,0.04307692125439644,0.024000000208616257
YMR188C,YBR098W,0,0.112919986,0.1505376398563385,0.04307692125439644,0.024307692423462868
YPR080W,YDL130W,1,0.10318947,0.1595744639635086,0.04615384712815285,0.024307692423462868
YFL016C,YNL182C,0,0.09955257,0.15789473056793213,0.04615384712815285,0.02461538463830948
YNL014W,YIL103W,1,0.09606372,0.1666666716337204,0.04923076927661896,0.02461538463830948
