Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YIR025W,YFR031C,1,22.195057,1.0,0.0009633911540731788,0.0
YHL035C,YHL032C,0,20.224415,0.5,0.0009633911540731788,0.0001003814468276687
YDR062W,YKL054C,0,20.085354,0.3333333432674408,0.0009633911540731788,0.0002007628936553374
YOL100W,YIL080W,0,19.98037,0.25,0.0009633911540731788,0.0003011443477589637
YCR046C,YDR438W,0,19.645061,0.20000000298023224,0.0009633911540731788,0.0004015257873106748
YER104W,YAR007C,0,19.10437,0.1666666716337204,0.0009633911540731788,0.0005019072559662163
YDR392W,YGL168W,0,18.96016,0.1428571492433548,0.0009633911540731788,0.0006022886955179274
YNL162W,YPL235W,0,18.162418,0.125,0.0009633911540731788,0.0007026701350696385
YER013W,YJR118C,0,18.148972,0.1111111119389534,0.0009633911540731788,0.0008030515746213496
YGL073W,YHR113W,0,17.942863,0.10000000149011612,0.0009633911540731788,0.0009034330723807216
YLR327C,YLR313C,0,17.703053,0.09090909361839294,0.0009633911540731788,0.0010038145119324327
YPR118W,YPR011C,0,17.688765,0.0833333358168602,0.0009633911540731788,0.0011041959514841437
YER100W,YDR389W,0,17.632088,0.07692307978868484,0.0009633911540731788,0.0012045773910358548
YFR015C,YIR015W,0,17.600948,0.0714285746216774,0.0009633911540731788,0.001304958830587566
YGR229C,YOR039W,1,17.417856,0.13333334028720856,0.0019267823081463575,0.001304958830587566
YDR545W,YGL222C,0,17.142189,0.125,0.0019267823081463575,0.001405340270139277
YEL016C,YOR098C,0,17.1181,0.11764705926179886,0.0019267823081463575,0.001505721709690988
YML070W,YMR136W,0,17.076967,0.1111111119389534,0.0019267823081463575,0.0016061031492426991
YMR261C,YML043C,0,16.842,0.10526315867900848,0.0019267823081463575,0.0017064845887944102
YMR006C,YDR076W,0,16.816141,0.10000000149011612,0.0019267823081463575,0.0018068661447614431
YFL047W,YJL065C,0,16.739876,0.095238097012043,0.0019267823081463575,0.0019072475843131542
YMR290C,YHR205W,0,16.534462,0.09090909361839294,0.0019267823081463575,0.0020076290238648653
YER098W,YBL112C,0,16.502827,0.08695652335882187,0.0019267823081463575,0.0021080104634165764
YBR169C,YDR139C,0,16.306358,0.0833333358168602,0.0019267823081463575,0.0022083919029682875
YDR392W,YLR264W,0,16.147749,0.07999999821186066,0.0019267823081463575,0.0023087733425199986
YNL084C,YGR140W,1,16.138224,0.11538461595773697,0.0028901733458042145,0.0023087733425199986
YJR120W,YOR081C,0,16.086782,0.1111111119389534,0.0028901733458042145,0.0024091547820717096
YGR271W,YBR281C,0,16.010408,0.1071428582072258,0.0028901733458042145,0.0025095362216234207
YGR106C,YOR287C,0,15.951013,0.1034482792019844,0.0028901733458042145,0.002609917661175132
YDR320C-A,YDR138W,0,15.895962,0.10000000149011612,0.0028901733458042145,0.002710299100726843
YOR039W,YOR032C,0,15.876625,0.09677419066429138,0.0028901733458042145,0.002810680540278554
YML124C,YMR014W,1,15.817855,0.125,0.003853564616292715,0.002810680540278554
YDR138W,YDR425W,0,15.772216,0.12121212482452393,0.003853564616292715,0.002911061979830265
YLR337W,YPR120C,1,15.690462,0.14705882966518402,0.004816955886781216,0.002911061979830265
YPL078C,YJL155C,0,15.684746,0.1428571492433548,0.004816955886781216,0.003011443419381976
YPR055W,YDL164C,1,15.613054,0.1666666716337204,0.005780346691608429,0.003011443419381976
YKR008W,YGR286C,0,15.470377,0.1621621549129486,0.005780346691608429,0.003111824858933687
YLR394W,YLR323C,0,15.449026,0.15789473056793213,0.005780346691608429,0.0032122062984853983
YHR139C,YPL139C,0,15.41904,0.1538461595773697,0.005780346691608429,0.0033125877380371094
YOR237W,YDL164C,0,15.358231,0.15000000596046448,0.005780346691608429,0.0034129691775888205
YPL252C,YOL045W,0,15.354479,0.1463414579629898,0.005780346691608429,0.0035133506171405315
YKR071C,YCL043C,0,15.338268,0.1428571492433548,0.005780346691608429,0.0036137322895228863
YER013W,YDR003W,0,15.329003,0.13953489065170288,0.005780346691608429,0.0037141137290745974
YDR076W,YKR054C,0,15.304105,0.13636364042758942,0.005780346691608429,0.0038144951686263084
YOL165C,YHR214C-B,0,15.285631,0.13333334028720856,0.005780346691608429,0.003914876375347376
YOR078W,YHR090C,0,15.14534,0.1304347813129425,0.005780346691608429,0.004015258047729731
YNL054W-B,YLR060W,0,15.053238,0.12765957415103912,0.005780346691608429,0.004115639254450798
YMR237W,YLR264W,0,15.000883,0.125,0.005780346691608429,0.004216020926833153
YLL003W,YFR031C,1,14.972658,0.1428571492433548,0.0067437379620969296,0.004216020926833153
YKL022C,YPL013C,0,14.961619,0.14000000059604645,0.0067437379620969296,0.00431640213355422
YPL252C,YIL155C,0,14.912193,0.13725490868091583,0.0067437379620969296,0.004416783805936575
YPL121C,YLR227W-B,0,14.862577,0.13461539149284363,0.0067437379620969296,0.004517165012657642
YER102W,YNL149C,0,14.861509,0.1320754736661911,0.0067437379620969296,0.004617546685039997
YOR346W,YGR134W,0,14.858507,0.12962962687015533,0.0067437379620969296,0.004717928357422352
YDR260C,YFR031C,1,14.845345,0.145454540848732,0.00770712923258543,0.004717928357422352
YER177W,YAL013W,0,14.818035,0.1428571492433548,0.00770712923258543,0.004818309564143419
YHR193C,YNL078W,0,14.811277,0.14035087823867798,0.00770712923258543,0.004918691236525774
YBR264C,YDR380W,0,14.799612,0.13793103396892548,0.00770712923258543,0.005019072443246841
YDL164C,YKR072C,1,14.7411,0.1525423675775528,0.008670520037412643,0.005019072443246841
YFR053C,YGL210W,0,14.731118,0.15000000596046448,0.008670520037412643,0.005119454115629196
YDR453C,YML045W-A,0,14.704752,0.14754098653793335,0.008670520037412643,0.005219835322350264
YJR139C,YER139C,0,14.646393,0.14516128599643707,0.008670520037412643,0.005320216994732618
YLR058C,YML034W,0,14.600132,0.1428571492433548,0.008670520037412643,0.005420598201453686
