Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL051W,YKL026C,0,6.2523375,0.0,0.0,0.00010020039917435497
YJR096W,YDR412W,0,6.1382565,0.0,0.0,0.00020040079834870994
YML100W,YPR110C,0,6.075727,0.0,0.0,0.00030060121207498014
YNL186W,YPL203W,0,5.9378314,0.0,0.0,0.0004008015966974199
YER025W,YMR105C,0,5.879132,0.0,0.0,0.0005010020104236901
YPL230W,YJL098W,0,5.6475444,0.0,0.0,0.0006012024241499603
YBL068W,YDR516C,1,5.590774,0.1428571492433548,0.0009803922148421407,0.0006012024241499603
YMR291W,YNR012W,1,5.5457373,0.25,0.0019607844296842813,0.0006012024241499603
YIL155C,YOR260W,0,5.54533,0.2222222238779068,0.0019607844296842813,0.0007014027796685696
YLL023C,YGR162W,0,5.4526505,0.20000000298023224,0.0019607844296842813,0.0008016031933948398
YGL078C,YHR104W,0,5.4402676,0.1818181872367859,0.0019607844296842813,0.00090180360712111
YPL230W,YIL103W,0,5.3285666,0.1666666716337204,0.0019607844296842813,0.0010020040208473802
YKR099W,YIL087C,0,5.2171226,0.1538461595773697,0.0019607844296842813,0.0011022044345736504
YNR001C,YDR346C,0,5.2099333,0.1428571492433548,0.0019607844296842813,0.0012024048482999206
YMR291W,YHL011C,1,5.1806674,0.20000000298023224,0.0029411765281111,0.0012024048482999206
YLR215C,YPL230W,0,5.1343493,0.1875,0.0029411765281111,0.0013026052620261908
YDR117C,YHL021C,0,5.126497,0.1764705926179886,0.0029411765281111,0.0014028055593371391
YPL186C,YPR169W,0,5.105594,0.1666666716337204,0.0029411765281111,0.0015030059730634093
YDL204W,YJR002W,0,5.085665,0.15789473056793213,0.0029411765281111,0.0016032063867896795
YJR059W,YHL011C,1,4.990149,0.20000000298023224,0.003921568859368563,0.0016032063867896795
YGL173C,YMR101C,0,4.98628,0.190476194024086,0.003921568859368563,0.0017034068005159497
YKL148C,YDR120C,0,4.9501824,0.1818181872367859,0.003921568859368563,0.00180360721424222
YBR169C,YLR451W,0,4.9178863,0.17391304671764374,0.003921568859368563,0.0019038076279684901
YBR169C,YOR101W,0,4.910603,0.1666666716337204,0.003921568859368563,0.0020040080416947603
YOL097C,YBR214W,0,4.8607264,0.1599999964237213,0.003921568859368563,0.0021042083390057087
YER118C,YDL110C,0,4.854666,0.1538461595773697,0.003921568859368563,0.0022044088691473007
YDR398W,YMR262W,0,4.85232,0.14814814925193787,0.003921568859368563,0.002304609166458249
YDR435C,YHR034C,0,4.847368,0.1428571492433548,0.003921568859368563,0.002404809696599841
YIL127C,YIL107C,0,4.8379903,0.13793103396892548,0.003921568859368563,0.0025050099939107895
YLR258W,YDR075W,0,4.81903,0.13333334028720856,0.003921568859368563,0.0026052105240523815
YIL107C,YER164W,0,4.8043966,0.12903225421905518,0.003921568859368563,0.00270541082136333
YDR045C,YCL040W,0,4.802141,0.125,0.003921568859368563,0.0028056111186742783
YER127W,YOR386W,0,4.7944593,0.12121212482452393,0.003921568859368563,0.0029058116488158703
YDL204W,YOR001W,0,4.7889285,0.11764705926179886,0.003921568859368563,0.0030060119461268187
YPL237W,YNL115C,0,4.7885404,0.11428571492433548,0.003921568859368563,0.0031062124762684107
YDR184C,YDR085C,0,4.7854505,0.1111111119389534,0.003921568859368563,0.003206412773579359
YJL057C,YNL308C,0,4.763246,0.10810811072587967,0.003921568859368563,0.003306613303720951
YMR139W,YPL146C,0,4.751597,0.10526315867900848,0.003921568859368563,0.0034068136010318995
YDR043C,YHR039C,0,4.7171597,0.10256410390138626,0.003921568859368563,0.0035070141311734915
YDR017C,YGL219C,0,4.715074,0.10000000149011612,0.003921568859368563,0.00360721442848444
YPL126W,YLR299W,0,4.7080374,0.09756097197532654,0.003921568859368563,0.0037074147257953882
YNR053C,YMR081C,0,4.667925,0.095238097012043,0.003921568859368563,0.0038076152559369802
YBR139W,YOR195W,0,4.665767,0.09302325546741486,0.003921568859368563,0.003907815553247929
YEL011W,YHR065C,0,4.642078,0.09090909361839294,0.003921568859368563,0.004008016083389521
YMR311C,YFL047W,0,4.6175895,0.08888889104127884,0.003921568859368563,0.004108216613531113
YBR298C,YLR222C,0,4.6105895,0.08695652335882187,0.003921568859368563,0.004208416678011417
YEL055C,YBR204C,0,4.6050196,0.08510638028383255,0.003921568859368563,0.004308617208153009
YJR059W,YDR300C,1,4.6027036,0.1041666641831398,0.0049019609577953815,0.004308617208153009
YIL113W,YPR112C,0,4.5988817,0.10204081982374191,0.0049019609577953815,0.0044088177382946014
YPL224C,YOL100W,0,4.595091,0.10000000149011612,0.0049019609577953815,0.0045090182684361935
YBR169C,YER176W,0,4.5734005,0.09803921729326248,0.0049019609577953815,0.004609218332916498
YJL187C,YPL203W,1,4.534914,0.11538461595773697,0.0058823530562222,0.004609218332916498
YOR077W,YNL287W,0,4.529633,0.11320754885673523,0.0058823530562222,0.00470941886305809
YLR070C,YPL081W,0,4.5269303,0.1111111119389534,0.0058823530562222,0.004809619393199682
YJL109C,YJR059W,0,4.513175,0.1090909093618393,0.0058823530562222,0.004909819457679987
YIR023W,YFR053C,0,4.5000577,0.1071428582072258,0.0058823530562222,0.005010019987821579
YER127W,YJR059W,0,4.49515,0.10526315867900848,0.0058823530562222,0.005110220517963171
YGR044C,YCR034W,0,4.4946756,0.1034482792019844,0.0058823530562222,0.005210421048104763
YIL035C,YJL164C,1,4.4836893,0.11864406615495682,0.006862745154649019,0.005210421048104763
YIL160C,YGL120C,0,4.4656434,0.11666666716337204,0.006862745154649019,0.005310621112585068
YFR015C,YDR273W,0,4.458549,0.1147540956735611,0.006862745154649019,0.00541082164272666
YFR024C-A,YDR058C,0,4.454566,0.11290322244167328,0.006862745154649019,0.005511022172868252
YPL227C,YLR258W,0,4.4465437,0.1111111119389534,0.006862745154649019,0.0056112222373485565
YML100W,YLR435W,0,4.4452744,0.109375,0.006862745154649019,0.0057114227674901485
YML100W,YML031W,0,4.443005,0.10769230872392654,0.006862745154649019,0.005811623297631741
YNL264C,YKL218C,0,4.4374976,0.10606060922145844,0.006862745154649019,0.005911823827773333
YLR133W,YNR038W,0,4.3995414,0.10447761416435242,0.006862745154649019,0.006012023892253637
YFR014C,YJL057C,1,4.3880467,0.11764705926179886,0.007843137718737125,0.006012023892253637
YLL026W,YOL097C,0,4.3740726,0.11594203114509583,0.007843137718737125,0.006112224422395229
YJL094C,YLL062C,0,4.3729815,0.11428571492433548,0.007843137718737125,0.006212424952536821
YGL208W,YBL068W,1,4.367991,0.1267605572938919,0.008823529817163944,0.006212424952536821
