Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLL026W,YLR216C,1,8.090148,1.0,0.000994035741314292,0.0
YPL240C,YJL111W,1,8.067726,1.0,0.001988071482628584,0.0
YNL178W,YGR284C,0,7.90613,0.6666666865348816,0.001988071482628584,0.00010006003867601976
YLL026W,YNL153C,1,7.5665455,0.75,0.0029821074567735195,0.00010006003867601976
YPL240C,YLR216C,1,7.2517796,0.800000011920929,0.003976142965257168,0.00010006003867601976
YDR519W,YPL037C,1,7.239687,0.8333333134651184,0.004970178939402103,0.00010006003867601976
YPL240C,YOR027W,1,7.2214394,0.8571428656578064,0.005964214913547039,0.00010006003867601976
YPL240C,YER103W,1,6.974981,0.875,0.006958250422030687,0.00010006003867601976
YGR078C,YDR258C,1,6.8767004,0.8888888955116272,0.007952285930514336,0.00010006003867601976
YDL143W,YBR169C,1,6.7648745,0.8999999761581421,0.008946321904659271,0.00010006003867601976
YPL240C,YJL008C,1,6.7117243,0.9090909361839294,0.009940357878804207,0.00010006003867601976
YMR186W,YBR072W,1,6.703598,0.9166666865348816,0.010934393852949142,0.00010006003867601976
YGR254W,YBR073W,0,6.6070104,0.8461538553237915,0.010934393852949142,0.00020012007735203952
YJL014W,YOR027W,1,6.561598,0.8571428656578064,0.011928429827094078,0.00020012007735203952
YMR214W,YPL037C,1,6.5564394,0.8666666746139526,0.012922464869916439,0.00020012007735203952
YOL088C,YJL034W,1,6.5548973,0.875,0.013916500844061375,0.00020012007735203952
YAL005C,YLR200W,1,6.5179844,0.8823529481887817,0.01491053681820631,0.00020012007735203952
YMR200W,YOR027W,1,6.441039,0.8888888955116272,0.01590457186102867,0.00020012007735203952
YDR519W,YNL209W,1,6.3901167,0.8947368264198303,0.016898607835173607,0.00020012007735203952
YGR214W,YMR214W,0,6.3022265,0.8500000238418579,0.016898607835173607,0.00030018010875210166
YBR169C,YMR186W,1,6.2505827,0.8571428656578064,0.017892643809318542,0.00030018010875210166
YER103W,YOR027W,1,6.2353706,0.8636363744735718,0.018886679783463478,0.00030018010875210166
YLR264W,YHR113W,0,6.0801907,0.8260869383811951,0.018886679783463478,0.00040024015470407903
YBR169C,YNL064C,1,6.0687118,0.8333333134651184,0.019880715757608414,0.00040024015470407903
YFL016C,YAL005C,1,5.9825,0.8399999737739563,0.02087475173175335,0.00040024015470407903
YBR169C,YDR214W,1,5.9467096,0.8461538553237915,0.021868787705898285,0.00040024015470407903
YLR200W,YLL024C,1,5.920567,0.8518518805503845,0.02286282368004322,0.00040024015470407903
