Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR174C,YIL098C,1,11.950778,1.0,0.0009832842042669654,0.0
YBR039W,YHL001W,0,9.49482,0.5,0.0009832842042669654,0.00010017029126174748
YOR232W,YEL020W-A,1,9.159512,0.6666666865348816,0.0019665684085339308,0.00010017029126174748
YKL134C,YER058W,1,9.079702,0.75,0.0029498524963855743,0.00010017029126174748
YJL063C,YLR370C,1,8.626537,0.800000011920929,0.0039331368170678616,0.00010017029126174748
YKL053C-A,YGR132C,1,8.500469,0.8333333134651184,0.0049164206720888615,0.00010017029126174748
YJL104W,YLR259C,1,8.355782,0.8571428656578064,0.005899704992771149,0.00010017029126174748
YGR264C,YOR187W,0,8.314708,0.75,0.005899704992771149,0.00020034058252349496
YDL142C,YDR529C,1,8.050974,0.7777777910232544,0.006882989313453436,0.00020034058252349496
YBR120C,YGL115W,0,7.9399104,0.699999988079071,0.006882989313453436,0.00030051087378524244
YDR296W,YJL104W,1,7.8408175,0.7272727489471436,0.007866273634135723,0.00030051087378524244
YOR158W,YJR101W,0,7.7244062,0.6666666865348816,0.007866273634135723,0.0004006811650469899
YMR012W,YNL315C,1,7.704571,0.692307710647583,0.008849557489156723,0.0004006811650469899
YHR024C,YDL029W,1,7.6580634,0.7142857313156128,0.009832841344177723,0.0004006811650469899
YGR132C,YOR045W,1,7.6019135,0.7333333492279053,0.010816126130521297,0.0004006811650469899
YKL195W,YJL104W,1,7.592946,0.75,0.011799409985542297,0.0004006811650469899
YDL142C,YGR174C,1,7.5073123,0.7647058963775635,0.012782693840563297,0.0004006811650469899
YJR034W,YHR005C-A,1,7.4962864,0.7777777910232544,0.013765978626906872,0.0004006811650469899
YLR355C,YGR046W,1,7.43881,0.7894737124443054,0.014749262481927872,0.0004006811650469899
YER058W,YJL180C,1,7.4194727,0.800000011920929,0.015732547268271446,0.0004006811650469899
YLR163C,YNL131W,1,7.3747206,0.8095238208770752,0.01671583019196987,0.0004006811650469899
YPR187W,YIL157C,0,7.3641806,0.7727272510528564,0.01671583019196987,0.0005008514272049069
YNL070W,YIL157C,1,7.364118,0.782608687877655,0.017699114978313446,0.0005008514272049069
YPL215W,YER058W,1,7.2800255,0.7916666865348816,0.01868239976465702,0.0005008514272049069
YPR024W,YGR174C,1,7.264045,0.800000011920929,0.019665682688355446,0.0005008514272049069
YGL219C,YIL065C,1,7.245549,0.807692289352417,0.02064896747469902,0.0005008514272049069
YNL315C,YIL022W,1,7.244197,0.8148148059844971,0.021632252261042595,0.0005008514272049069
YDR079W,YMR089C,1,7.2209353,0.8214285969734192,0.02261553518474102,0.0005008514272049069
YIL062C,YNL070W,1,7.1721725,0.8275862336158752,0.023598819971084595,0.0005008514272049069
YOR375C,YPR191W,0,7.1488237,0.800000011920929,0.023598819971084595,0.0006010217475704849
YKL053C-A,YGR231C,1,7.1399183,0.8064516186714172,0.02458210475742817,0.0006010217475704849
YGL068W,YEL020W-A,0,7.1388245,0.78125,0.02458210475742817,0.0007011920097284019
YPL098C,YOL026C,1,7.1215696,0.7878788113594055,0.025565387681126595,0.0007011920097284019
YDR019C,YLR299W,0,7.088126,0.7647058963775635,0.025565387681126595,0.0008013623300939798
YGR027C,YOR354C,0,7.072789,0.7428571581840515,0.025565387681126595,0.0009015325922518969
YGR028W,YLR259C,1,7.0243874,0.75,0.02654867246747017,0.0009015325922518969
YKL150W,YDR494W,0,7.022238,0.7297297120094299,0.02654867246747017,0.0010017028544098139
YGR082W,YBR044C,1,7.000576,0.7368420958518982,0.027531957253813744,0.0010017028544098139
YJL063C,YNL070W,1,6.986722,0.7435897588729858,0.02851524017751217,0.0010017028544098139
YOL023W,YHR008C,0,6.959473,0.7250000238418579,0.02851524017751217,0.0011018732329830527
YJR045C,YPL098C,1,6.9571195,0.7317073345184326,0.029498524963855743,0.0011018732329830527
YDL217C,YLR325C,0,6.9072857,0.7142857313156128,0.029498524963855743,0.0012020434951409698
YDR337W,YDL029W,0,6.8620467,0.6976743936538696,0.029498524963855743,0.0013022137572988868
YMR241W,YJL180C,1,6.859523,0.7045454382896423,0.030481809750199318,0.0013022137572988868
YCR071C,YML004C,0,6.8557987,0.6888889074325562,0.030481809750199318,0.0014023840194568038
YBR104W,YJL066C,0,6.8512444,0.6739130616188049,0.030481809750199318,0.0015025543980300426
YDR296W,YKL195W,1,6.7894306,0.6808510422706604,0.03146509453654289,0.0015025543980300426
YNL121C,YEL020W-A,1,6.7866955,0.6875,0.03244837746024132,0.0015025543980300426
YPL098C,YJR065C,1,6.7814674,0.6938775777816772,0.03343166038393974,0.0015025543980300426
YGL219C,YGR181W,1,6.7813625,0.699999988079071,0.03441494703292847,0.0015025543980300426
YLL001W,YGR112W,1,6.7806644,0.7058823704719543,0.03539822995662689,0.0015025543980300426
YHR196W,YBR222C,0,6.768047,0.692307710647583,0.03539822995662689,0.0016027246601879597
YMR203W,YOR045W,1,6.759017,0.698113203048706,0.03638151288032532,0.0016027246601879597
YCR046C,YPR163C,0,6.7213535,0.6851851940155029,0.03638151288032532,0.0017028949223458767
YGR132C,YLL009C,1,6.7160482,0.6909090876579285,0.03736479952931404,0.0017028949223458767
YIL098C,YLR393W,1,6.6676106,0.6964285969734192,0.038348082453012466,0.0017028949223458767
YGR231C,YDR375C,1,6.6431475,0.7017543911933899,0.03933136537671089,0.0017028949223458767
YDL054C,YIL056W,0,6.614521,0.6896551847457886,0.03933136537671089,0.0018030651845037937
YHR029C,YDL128W,0,6.604753,0.6779661178588867,0.03933136537671089,0.0019032354466617107
YCR079W,YNL070W,1,6.5812287,0.6833333373069763,0.040314652025699615,0.0019032354466617107
YLR163C,YNL121C,1,6.5746737,0.688524603843689,0.04129793494939804,0.0019032354466617107
