Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YML114C,YMR288W,0,8.93393,0.0,0.0,0.0001001903583528474
YNL095C,YOR243C,1,8.855319,0.5,0.0009813542710617185,0.0001001903583528474
YDR524C,YDL201W,1,7.9762907,0.6666666865348816,0.001962708542123437,0.0001001903583528474
YKL110C,YCL029C,1,7.8069158,0.75,0.0029440626967698336,0.0001001903583528474
YDR184C,YCL029C,0,7.7100453,0.6000000238418579,0.0029440626967698336,0.0002003807167056948
YML014W,YPL266W,1,7.654365,0.6666666865348816,0.003925417084246874,0.0002003807167056948
YKR056W,YJR129C,1,7.5604453,0.7142857313156128,0.0049067712388932705,0.0002003807167056948
YBR021W,YDR441C,1,7.5331645,0.75,0.005888125393539667,0.0002003807167056948
YER036C,YDR352W,0,7.4896073,0.6666666865348816,0.005888125393539667,0.0003005710896104574
YNL035C,YDL201W,1,7.456246,0.699999988079071,0.006869480013847351,0.0003005710896104574
YKR038C,YDR239C,1,7.4382696,0.7272727489471436,0.007850834168493748,0.0003005710896104574
YLR401C,YKR080W,1,7.4225726,0.75,0.008832188323140144,0.0003005710896104574
YLR014C,YKL084W,1,7.298095,0.7692307829856873,0.009813542477786541,0.0003005710896104574
YBR141C,YKR056W,1,7.2430987,0.7857142686843872,0.010794896632432938,0.0003005710896104574
YML080W,YIL061C,1,7.1113276,0.800000011920929,0.011776250787079334,0.0003005710896104574
YNL240C,YMR211W,1,7.098536,0.8125,0.012757605873048306,0.0003005710896104574
YKR056W,YKL166C,1,7.093533,0.8235294222831726,0.013738960027694702,0.0003005710896104574
YDR206W,YER168C,1,7.038076,0.8333333134651184,0.014720314182341099,0.0003005710896104574
YOL029C,YIL047C,1,7.023272,0.8421052694320679,0.015701668336987495,0.0003005710896104574
YIL047C,YPL212C,1,6.983274,0.8500000238418579,0.016683023422956467,0.0003005710896104574
YDR110W,YOR207C,0,6.929706,0.8095238208770752,0.016683023422956467,0.0004007614334113896
YNL065W,YDL112W,1,6.87865,0.8181818127632141,0.01766437664628029,0.0004007614334113896
YHL026C,YFL001W,1,6.8578043,0.8260869383811951,0.01864573173224926,0.0004007614334113896
YIL091C,YGR030C,0,6.827376,0.7916666865348816,0.01864573173224926,0.0005009518354199827
YMR283C,YJR042W,1,6.820404,0.800000011920929,0.019627084955573082,0.0005009518354199827
YNL132W,YDR206W,0,6.6823177,0.7692307829856873,0.019627084955573082,0.0006011421792209148
YDL208W,YFL001W,1,6.645856,0.7777777910232544,0.020608440041542053,0.0006011421792209148
YNR015W,YNL065W,1,6.6440115,0.7857142686843872,0.021589793264865875,0.0006011421792209148
YOL140W,YDR364C,1,6.639523,0.7931034564971924,0.022571148350834846,0.0006011421792209148
YOL029C,YNR015W,1,6.6236806,0.800000011920929,0.02355250157415867,0.0006011421792209148
YNR027W,YGL211W,1,6.621339,0.8064516186714172,0.02453385666012764,0.0006011421792209148
YHR187W,YLR175W,1,6.6205688,0.8125,0.02551521174609661,0.0006011421792209148
YMR162C,YML082W,0,6.582035,0.7878788113594055,0.02551521174609661,0.000701332523021847
