Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR337C,YLR337W,1,18.857586,1.0,0.0009990009712055326,0.0
YOR306C,YBL064C,0,13.173153,0.5,0.0009990009712055326,0.00010001000191550702
YDL022W,YPL239W,1,13.121932,0.6666666865348816,0.001998001942411065,0.00010001000191550702
YLR258W,YNL182C,0,12.338192,0.5,0.001998001942411065,0.00020002000383101404
YML128C,YNL062C,0,11.921847,0.4000000059604645,0.001998001942411065,0.00030002999119460583
YHR206W,YOR120W,1,11.839827,0.5,0.0029970030300319195,0.00030002999119460583
YOR227W,YGR162W,0,11.611156,0.4285714328289032,0.0029970030300319195,0.0004000400076620281
YPL157W,YMR250W,0,11.524713,0.375,0.0029970030300319195,0.0005000500241294503
YMR290C,YDL022W,0,11.456116,0.3333333432674408,0.0029970030300319195,0.0006000599823892117
YNL274C,YPR163C,0,11.28338,0.30000001192092896,0.0029970030300319195,0.0007000699988566339
YER068W,YBR169C,0,11.224193,0.27272728085517883,0.0029970030300319195,0.0008000800153240561
YJL140W,YPR026W,0,11.201997,0.25,0.0029970030300319195,0.0009000900317914784
YBL075C,YLR304C,0,11.158231,0.23076923191547394,0.0029970030300319195,0.0010001000482589006
YJL048C,YPL207W,0,11.131573,0.2142857164144516,0.0029970030300319195,0.001100110006518662
YKL048C,YOR120W,1,11.093199,0.2666666805744171,0.00399600388482213,0.001100110006518662
YHR206W,YMR092C,1,10.975695,0.3125,0.004995005205273628,0.001100110006518662
YLR258W,YHR170W,0,10.880006,0.29411765933036804,0.004995005205273628,0.0012001199647784233
YFL014W,YNL271C,1,10.875205,0.3333333432674408,0.005994006060063839,0.0012001199647784233
YFL014W,YHR206W,1,10.782597,0.3684210479259491,0.00699300691485405,0.0012001199647784233
YBR072W,YNR024W,0,10.72458,0.3499999940395355,0.00699300691485405,0.0013001300394535065
YFL014W,YPL223C,1,10.696447,0.380952388048172,0.00799200776964426,0.0013001300394535065
YOL080C,YBR230C,0,10.679212,0.3636363744735718,0.00799200776964426,0.0014001399977132678
YFL014W,YBR260C,1,10.675705,0.3913043439388275,0.008991008624434471,0.0014001399977132678
YOR047C,YFL014W,1,10.649366,0.4166666567325592,0.009990010410547256,0.0014001399977132678
YMR092C,YHL007C,1,10.648306,0.4399999976158142,0.010989011265337467,0.0014001399977132678
YIL153W,YKL048C,1,10.645397,0.4615384638309479,0.011988012120127678,0.0014001399977132678
YIL009W,YMR250W,0,10.629399,0.4444444477558136,0.011988012120127678,0.001500150072388351
YFL014W,YER118C,1,10.543329,0.4642857015132904,0.012987012974917889,0.001500150072388351
YLR362W,YOR297C,1,10.536686,0.48275861144065857,0.0139860138297081,0.001500150072388351
YFL014W,YJL184W,1,10.518839,0.5,0.01498501468449831,0.001500150072388351
YMR092C,YPL239W,1,10.513269,0.5161290168762207,0.01598401553928852,0.001500150072388351
YOR078W,YDL110C,0,10.4310665,0.5,0.01598401553928852,0.0016001600306481123
YLR219W,YER168C,0,10.401825,0.4848484992980957,0.01598401553928852,0.0017001699889078736
YCL039W,YNL308C,0,10.344793,0.47058823704719543,0.01598401553928852,0.0018001800635829568
YLR336C,YGR008C,1,10.328641,0.48571428656578064,0.016983017325401306,0.0018001800635829568
YKL062W,YER062C,1,10.318519,0.5,0.017982017248868942,0.0018001800635829568
YNL065W,YER053C,0,10.293112,0.4864864945411682,0.017982017248868942,0.0019001900218427181
YBR169C,YCR057C,0,10.284749,0.4736842215061188,0.017982017248868942,0.0020002000965178013
YOL071W,YPR137W,0,10.22234,0.4615384638309479,0.017982017248868942,0.002100209938362241
YPL240C,YMR109W,1,10.191559,0.4749999940395355,0.018981019034981728,0.002100209938362241
YNL091W,YPL240C,1,10.187758,0.4878048896789551,0.019980020821094513,0.002100209938362241
YOR299W,YLR304C,0,10.179268,0.4761904776096344,0.019980020821094513,0.002200220013037324
YNL153C,YPL004C,0,10.148708,0.4651162922382355,0.019980020821094513,0.002300230087712407
YDR168W,YMR037C,1,10.11063,0.47727271914482117,0.02097902074456215,0.002300230087712407
