Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL018W,YJL019W,1,11.089635,1.0,0.0009842519648373127,0.0
YGR188C,YOR014W,1,10.351665,1.0,0.0019685039296746254,0.0
YPL204W,YOR073W,1,10.107571,1.0,0.002952755894511938,0.0
YDL008W,YDR113C,1,9.929121,1.0,0.003937007859349251,0.0
YNL290W,YIL072W,1,9.83467,1.0,0.0049212598241865635,0.0
YIL073C,YOR073W,1,9.814848,1.0,0.005905511789023876,0.0
YJL074C,YPL017C,1,9.760148,1.0,0.006889763753861189,0.0
YAR018C,YBR073W,1,9.605261,1.0,0.007874015718698502,0.0
YDR022C,YJL080C,1,9.53159,1.0,0.008858268149197102,0.0
YBR070C,YPR149W,0,9.492056,0.8999999761581421,0.008858268149197102,0.00010016025771619752
YOL069W,YBL097W,1,9.444239,0.9090909361839294,0.009842519648373127,0.00010016025771619752
YAL034W-A,YAL031C,1,9.441972,0.9166666865348816,0.010826772078871727,0.00010016025771619752
YDR439W,YMR198W,1,9.153322,0.9230769276618958,0.011811023578047752,0.00010016025771619752
YDL028C,YNL299W,1,9.028225,0.9285714030265808,0.012795276008546352,0.00010016025771619752
YBR273C,YNL072W,0,8.942753,0.8666666746139526,0.012795276008546352,0.00020032051543239504
YOL104C,YHR014W,1,8.879563,0.875,0.013779527507722378,0.00020032051543239504
YIR025W,YAR018C,1,8.851837,0.8823529481887817,0.014763779938220978,0.00020032051543239504
YMR271C,YDR123C,0,8.786245,0.8333333134651184,0.014763779938220978,0.0003004807804245502
YDR130C,YAL047C,1,8.745434,0.8421052694320679,0.015748031437397003,0.0003004807804245502
YLR272C,YPL017C,1,8.711379,0.8500000238418579,0.01673228293657303,0.0003004807804245502
YDR118W,YOR073W,1,8.649548,0.8571428656578064,0.017716536298394203,0.0003004807804245502
YHR166C,YLR127C,1,8.465487,0.8636363744735718,0.01870078779757023,0.0003004807804245502
YAR018C,YNL273W,1,8.408212,0.8695651888847351,0.019685039296746254,0.0003004807804245502
YNL290W,YDR022C,1,8.40358,0.875,0.02066929079592228,0.0003004807804245502
YDR022C,YOR073W,1,8.386398,0.8799999952316284,0.021653544157743454,0.0003004807804245502
YLR316C,YJL074C,0,8.347702,0.8461538553237915,0.021653544157743454,0.0004006410308647901
YIR011C,YIL073C,1,8.340516,0.8518518805503845,0.02263779565691948,0.0004006410308647901
YBR156C,YOR178C,1,8.321816,0.8571428656578064,0.023622047156095505,0.0004006410308647901
YMR017W,YLR226W,0,8.316671,0.8275862336158752,0.023622047156095505,0.0005008013104088604
YMR190C,YDR180W,1,8.250545,0.8333333134651184,0.02460629865527153,0.0005008013104088604
YDL030W,YKL189W,0,8.178274,0.8064516186714172,0.02460629865527153,0.0006009615608491004
YHL009C,YAL058W,0,8.165177,0.78125,0.02460629865527153,0.0007011218112893403
YNL299W,YML034W,1,8.1433525,0.7878788113594055,0.025590552017092705,0.0007011218112893403
YBR156C,YNL116W,1,8.104143,0.7941176295280457,0.02657480351626873,0.0007011218112893403
YDR198C,YJR021C,0,8.093353,0.7714285850524902,0.02657480351626873,0.0008012820617295802
YNL012W,YKR010C,0,8.026933,0.75,0.02657480351626873,0.0009014423121698201
YML034W,YLR127C,1,7.948887,0.7567567825317383,0.027559055015444756,0.0009014423121698201
YOL104C,YIL031W,1,7.9377337,0.7631579041481018,0.02854330651462078,0.0009014423121698201
YOR208W,YJL092W,0,7.9123588,0.7435897588729858,0.02854330651462078,0.0010016026208177209
YDR439W,YIL026C,1,7.909626,0.75,0.029527559876441956,0.0010016026208177209
YMR001C,YIL073C,1,7.885701,0.7560975551605225,0.03051181137561798,0.0010016026208177209
YJL074C,YGR140W,1,7.87129,0.761904776096344,0.031496062874794006,0.0010016026208177209
YPL233W,YNL172W,1,7.8426795,0.7674418687820435,0.03248031437397003,0.0010016026208177209
YIR011C,YBL063W,1,7.78017,0.7727272510528564,0.03346456587314606,0.0010016026208177209
YJL074C,YGL251C,1,7.7225227,0.7777777910232544,0.03444881737232208,0.0010016026208177209
YMR055C,YMR311C,1,7.698841,0.782608687877655,0.035433072596788406,0.0010016026208177209
YOL068C,YPL033C,0,7.639122,0.7659574747085571,0.035433072596788406,0.0011017628712579608
YNL290W,YML034W,1,7.6387596,0.7708333134651184,0.03641732409596443,0.0011017628712579608
YER106W,YAL024C,0,7.6349974,0.7551020383834839,0.03641732409596443,0.0012019231216982007
YOR178C,YNL164C,1,7.6236234,0.7599999904632568,0.03740157559514046,0.0012019231216982007
YKR054C,YIL073C,1,7.623289,0.7647058963775635,0.03838582709431648,0.0012019231216982007
YJR089W,YPR135W,1,7.611926,0.7692307829856873,0.03937007859349251,0.0012019231216982007
YIL132C,YBR156C,1,7.607751,0.7735849022865295,0.04035433009266853,0.0012019231216982007
YDR180W,YOR195W,1,7.5860825,0.7777777910232544,0.04133858159184456,0.0012019231216982007
YGR145W,YOL017W,0,7.5823164,0.7636363506317139,0.04133858159184456,0.0013020833721384406
YHR153C,YNL222W,0,7.5605764,0.75,0.04133858159184456,0.0014022436225786805
YMR168C,YOL017W,0,7.536821,0.7368420958518982,0.04133858159184456,0.0015024038730189204
YPR007C,YFL037W,1,7.5295343,0.7413793206214905,0.042322833091020584,0.0015024038730189204
YOL069W,YLR272C,1,7.514636,0.7457627058029175,0.04330708831548691,0.0015024038730189204
YDR281C,YGR227W,0,7.484464,0.7333333492279053,0.04330708831548691,0.0016025641234591603
YDR260C,YER106W,1,7.4717417,0.7377049326896667,0.04429133981466293,0.0016025641234591603
YML034W,YKL089W,1,7.4652777,0.7419354915618896,0.04527559131383896,0.0016025641234591603
YFR027W,YLR315W,1,7.461115,0.7460317611694336,0.046259842813014984,0.0016025641234591603
YGL166W,YBL085W,0,7.4609227,0.734375,0.046259842813014984,0.0017027243738994002
YLR399C,YPL256C,0,7.456095,0.7230769395828247,0.046259842813014984,0.0018028846243396401
YGL251C,YPR135W,1,7.4558945,0.7272727489471436,0.04724409431219101,0.0018028846243396401
YFR046C,YML124C,1,7.4485197,0.7313432693481445,0.048228345811367035,0.0018028846243396401
YDR130C,YCL061C,1,7.4252167,0.7352941036224365,0.04921259731054306,0.0018028846243396401
YHR160C,YOR202W,0,7.408441,0.7246376872062683,0.04921259731054306,0.00190304487477988
YOR106W,YPR073C,0,7.3696165,0.7142857313156128,0.04921259731054306,0.0020032052416354418
YDR130C,YDR180W,1,7.344244,0.7183098793029785,0.050196848809719086,0.0020032052416354418
YJL087C,YKL090W,0,7.338014,0.7083333134651184,0.050196848809719086,0.0021033654920756817
YNL273W,YAL016W,1,7.321122,0.7123287916183472,0.05118110403418541,0.0021033654920756817
YPL051W,YHR153C,0,7.3007393,0.7027027010917664,0.05118110403418541,0.0022035257425159216
YDR281C,YPR178W,0,7.2410784,0.6933333277702332,0.05118110403418541,0.0023036859929561615
YGL061C,YKR054C,1,7.2283235,0.6973684430122375,0.052165355533361435,0.0023036859929561615
YOL049W,YNL210W,0,7.2105083,0.6883116960525513,0.052165355533361435,0.0024038462433964014
YLR320W,YHR153C,1,7.206289,0.692307710647583,0.05314960703253746,0.0024038462433964014
YLR117C,YFR042W,0,7.2021856,0.6835442781448364,0.05314960703253746,0.0025040064938366413
YMR076C,YOL104C,1,7.1870303,0.6875,0.054133858531713486,0.0025040064938366413
YPL209C,YKR083C,1,7.1831617,0.6913580298423767,0.05511811003088951,0.0025040064938366413
YGR188C,YGR002C,1,7.1754937,0.6951219439506531,0.056102361530065536,0.0025040064938366413
YBR273C,YOR346W,0,7.152091,0.6867470145225525,0.056102361530065536,0.0026041667442768812
