Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YEL002C,YMR149W,1,15.908362,1.0,0.0010000000474974513,0.0
YEL002C,YJL002C,1,14.375164,1.0,0.0020000000949949026,0.0
YMR149W,YJL002C,1,14.046699,1.0,0.003000000026077032,0.0
YAL023C,YER003C,1,13.927322,1.0,0.004000000189989805,0.0
YOR085W,YJL183W,1,13.850601,1.0,0.004999999888241291,0.0
YEL002C,YDL095W,1,13.836769,1.0,0.006000000052154064,0.0
YEL002C,YAL023C,1,13.080729,1.0,0.007000000216066837,0.0
YGL225W,YDL095W,1,12.930388,1.0,0.00800000037997961,0.0
YJR143C,YGL022W,1,12.844713,1.0,0.008999999612569809,0.0
YGL038C,YOR336W,1,12.807691,1.0,0.009999999776482582,0.0
YGL225W,YAL023C,1,12.756065,1.0,0.010999999940395355,0.0
YDL095W,YJL002C,1,12.726696,1.0,0.012000000104308128,0.0
YEL002C,YML019W,1,12.32428,1.0,0.013000000268220901,0.0
YJR143C,YER003C,1,12.219578,1.0,0.014000000432133675,0.0
YAL023C,YJL002C,1,12.005831,1.0,0.014999999664723873,0.0
YJR131W,YMR149W,1,11.859724,1.0,0.01600000075995922,0.0
YGL225W,YMR149W,1,11.846783,1.0,0.017000000923871994,0.0
YEL002C,YJR143C,1,11.767441,1.0,0.017999999225139618,0.0
YER003C,YEL042W,1,11.762824,1.0,0.01899999938905239,0.0
YER003C,YEL031W,1,11.738998,1.0,0.019999999552965164,0.0
YJL002C,YML115C,1,11.705889,1.0,0.020999999716877937,0.0
YDL095W,YMR149W,1,11.669309,1.0,0.02199999988079071,0.0
YJR143C,YJL002C,1,11.547073,1.0,0.023000000044703484,0.0
YMR013C,YMR149W,1,11.470808,1.0,0.024000000208616257,0.0
YGL022W,YJL183W,1,11.362108,1.0,0.02500000037252903,0.0
YAL023C,YGL022W,1,11.312269,1.0,0.026000000536441803,0.0
YDR414C,YPL050C,1,11.281816,1.0,0.027000000700354576,0.0
YGL027C,YJR143C,1,11.1606045,1.0,0.02800000086426735,0.0
YGL225W,YER001W,1,11.136925,1.0,0.028999999165534973,0.0
YPL227C,YPL050C,1,11.124376,1.0,0.029999999329447746,0.0
YAL023C,YDR483W,1,11.086145,1.0,0.03099999949336052,0.0
YEL002C,YGL022W,1,11.081649,1.0,0.03200000151991844,0.0
YDR483W,YMR149W,1,11.077713,1.0,0.032999999821186066,0.0
YEL002C,YGL225W,1,11.036187,1.0,0.03400000184774399,0.0
YGL022W,YMR149W,1,10.996663,1.0,0.03500000014901161,0.0
YGL022W,YER001W,1,10.976161,1.0,0.035999998450279236,0.0
YER003C,YMR149W,1,10.969432,1.0,0.03700000047683716,0.0
YER003C,YNL048W,1,10.94636,1.0,0.03799999877810478,0.0
YGL027C,YMR149W,1,10.907698,1.0,0.039000000804662704,0.0
YAL023C,YNR030W,1,10.886566,1.0,0.03999999910593033,0.0
YEL002C,YER001W,1,10.878456,1.0,0.04100000113248825,0.0
YAL023C,YOR099W,1,10.831871,1.0,0.041999999433755875,0.0
YAL023C,YBL082C,1,10.761234,1.0,0.0430000014603138,0.0
YOR085W,YJR143C,1,10.754681,1.0,0.04399999976158142,0.0
YOR103C,YPL053C,1,10.74872,1.0,0.04500000178813934,0.0
YDR483W,YOR067C,1,10.740103,1.0,0.04600000008940697,0.0
YGL038C,YDR483W,1,10.705627,1.0,0.04699999839067459,0.0
YER001W,YPL050C,1,10.656102,1.0,0.04800000041723251,0.0
YJR090C,YDR167W,0,10.653004,0.9795918464660645,0.04800000041723251,9.999999747378752e-05
YBR243C,YBL082C,1,10.637079,0.9800000190734863,0.04899999871850014,9.999999747378752e-05
YJR143C,YNL044W,0,10.584023,0.9607843160629272,0.04899999871850014,0.00019999999494757503
YOR085W,YMR013C,1,10.567028,0.9615384340286255,0.05000000074505806,0.00019999999494757503
YOL142W,YER049W,0,10.56512,0.9433962106704712,0.05000000074505806,0.0003000000142492354
YOR099W,YER001W,1,10.5119705,0.9444444179534912,0.050999999046325684,0.0003000000142492354
YDR231C,YMR139W,0,10.500602,0.9272727370262146,0.050999999046325684,0.00039999998989515007
YGL077C,YJL138C,0,10.500469,0.9107142686843872,0.050999999046325684,0.0005000000237487257
YPL227C,YER003C,1,10.480009,0.9122806787490845,0.052000001072883606,0.0005000000237487257
YOR099W,YPL050C,1,10.435299,0.9137930870056152,0.05299999937415123,0.0005000000237487257
YGL048C,YLR309C,0,10.4225025,0.8983050584793091,0.05299999937415123,0.0006000000284984708
YOR099W,YEL042W,1,10.420612,0.8999999761581421,0.05400000140070915,0.0006000000284984708
YDL095W,YOR085W,1,10.345804,0.9016393423080444,0.054999999701976776,0.0006000000284984708
YGL225W,YPR183W,1,10.340822,0.9032257795333862,0.0560000017285347,0.0006000000284984708
YER003C,YJL002C,1,10.327398,0.9047619104385376,0.05700000002980232,0.0006000000284984708
YJR143C,YOR067C,1,10.314824,0.90625,0.057999998331069946,0.0006000000284984708
YER001W,YML115C,1,10.304556,0.9076923131942749,0.05900000035762787,0.0006000000284984708
YBL020W,YJL183W,1,10.277414,0.9090909361839294,0.05999999865889549,0.0006000000284984708
YDL095W,YEL042W,1,10.256893,0.9104477763175964,0.061000000685453415,0.0006000000284984708
YNL232W,YNL110C,0,10.24079,0.8970588445663452,0.061000000685453415,0.000699999975040555
YBR243C,YOR067C,1,10.223726,0.8985507488250732,0.06199999898672104,0.000699999975040555
YBR243C,YML019W,1,10.207961,0.8999999761581421,0.06300000101327896,0.000699999975040555
YGL027C,YOR067C,1,10.194382,0.9014084339141846,0.06400000303983688,0.000699999975040555
YOR067C,YOR002W,1,10.18904,0.9027777910232544,0.06499999761581421,0.000699999975040555
YOR099W,YJL183W,1,10.176556,0.9041095972061157,0.06599999964237213,0.000699999975040555
YBR243C,YJL183W,1,10.172199,0.9054054021835327,0.06700000166893005,0.000699999975040555
YOR085W,YJL002C,1,10.17085,0.9066666960716248,0.06800000369548798,0.000699999975040555
YOR336W,YER003C,1,10.151648,0.9078947305679321,0.0689999982714653,0.000699999975040555
