Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL147W,YGR148C,0,2.3039865,0.0,0.0,0.00010066438699141145
YDR447C,YBR048W,0,1.5202729,0.0,0.0,0.0002013287739828229
YDR064W,YNL301C,0,1.3749396,0.0,0.0,0.00030199316097423434
YLR448W,YMR194W,0,1.3211542,0.0,0.0,0.0004026575479656458
YLR275W,YGR214W,0,1.1438488,0.0,0.0,0.0005033219349570572
YBL026W,YOL127W,0,1.0291604,0.0,0.0,0.0006039863219484687
YAL033W,YHR216W,0,0.9280968,0.0,0.0,0.0007046507089398801
YLR275W,YNL069C,0,0.9263622,0.0,0.0,0.0008053150959312916
YDR369C,YOR182C,0,0.91106,0.0,0.0,0.000905979482922703
YJL145W,YDL103C,0,0.9028873,0.0,0.0,0.0010066438699141145
YHR012W,YDR450W,0,0.8751982,0.0,0.0,0.001107308198697865
YML056C,YHL001W,0,0.860228,0.0,0.0,0.0012079726438969374
YLR364W,YOR375C,0,0.8599715,0.0,0.0,0.001308636972680688
YER170W,YGR214W,0,0.8586269,0.0,0.0,0.0014093014178797603
YLR424W,YLR081W,0,0.84729296,0.0,0.0,0.0015099657466635108
YAL060W,YLR344W,0,0.83956945,0.0,0.0,0.0016106301918625832
YGR279C,YDR538W,0,0.8326555,0.0,0.0,0.0017112945206463337
YGR105W,YFL016C,0,0.79946935,0.0,0.0,0.001811958965845406
YBR185C,YDL004W,1,0.7864256,0.05263157933950424,0.0009380863048136234,0.001811958965845406
YPL218W,YJL177W,0,0.7531603,0.05000000074505806,0.0009380863048136234,0.0019126232946291566
YFR052W,YIL044C,0,0.74888605,0.0476190485060215,0.0009380863048136234,0.002013287739828229
YLL039C,YGR207C,0,0.73974687,0.04545454680919647,0.0009380863048136234,0.0021139520686119795
YLR192C,YER012W,0,0.7370086,0.043478261679410934,0.0009380863048136234,0.00221461639739573
YLR275W,YJL024C,0,0.73073095,0.0416666679084301,0.0009380863048136234,0.002315280959010124
YJR048W,YMR098C,1,0.7263064,0.07999999821186066,0.0018761726096272469,0.002315280959010124
YPL078C,YOR089C,1,0.72576696,0.11538461595773697,0.0028142589144408703,0.002315280959010124
YML001W,YKR057W,0,0.7097524,0.1111111119389534,0.0028142589144408703,0.0024159452877938747
YCL031C,YKL074C,0,0.7055281,0.1071428582072258,0.0028142589144408703,0.0025166096165776253
YOR168W,YOR261C,0,0.6950132,0.1034482792019844,0.0028142589144408703,0.002617273945361376
YNL177C,YOL018C,0,0.6949095,0.10000000149011612,0.0028142589144408703,0.00271793850697577
YDR258C,YDR076W,0,0.6928073,0.09677419066429138,0.0028142589144408703,0.0028186028357595205
YCR075C,YLR340W,0,0.6923741,0.09375,0.0028142589144408703,0.002919267164543271
YJL139C,YJL157C,0,0.6916725,0.09090909361839294,0.0028142589144408703,0.0030199314933270216
YOL068C,YKR038C,0,0.6876785,0.0882352963089943,0.0028142589144408703,0.003120595822110772
YGR086C,YHR047C,0,0.67713946,0.08571428805589676,0.0028142589144408703,0.0032212603837251663
YPR149W,YML022W,0,0.6758658,0.0833333358168602,0.0028142589144408703,0.003321924712508917
YGR279C,YHR050W,0,0.6744109,0.0810810774564743,0.0028142589144408703,0.0034225890412926674
YPR156C,YLR182W,0,0.6739994,0.07894736528396606,0.0028142589144408703,0.003523253370076418
YAL021C,YAL040C,0,0.6732436,0.07692307978868484,0.0028142589144408703,0.003623917931690812
YBL046W,YJL124C,0,0.6676658,0.07500000298023224,0.0028142589144408703,0.0037245822604745626
YNL119W,YGR155W,0,0.66669893,0.0731707289814949,0.0028142589144408703,0.003825246589258313
YMR228W,YIL065C,1,0.66361135,0.095238097012043,0.0037523452192544937,0.003825246589258313
YMR288W,YDR173C,0,0.65896577,0.09302325546741486,0.0037523452192544937,0.003925911150872707
YJR140C,YMR146C,0,0.6583511,0.09090909361839294,0.0037523452192544937,0.004026575479656458
YLR097C,YGL017W,0,0.6570746,0.08888889104127884,0.0037523452192544937,0.0041272398084402084
YJL164C,YNL070W,0,0.6569486,0.08695652335882187,0.0037523452192544937,0.004227904137223959
YLR048W,YOR099W,0,0.65503436,0.08510638028383255,0.0037523452192544937,0.0043285684660077095
YKR057W,YLR170C,0,0.6543206,0.0833333358168602,0.0037523452192544937,0.00442923279479146
YGR172C,YMR058W,0,0.6501835,0.08163265138864517,0.0037523452192544937,0.004529897123575211
YGL038C,YGR140W,0,0.65002495,0.07999999821186066,0.0037523452192544937,0.004630561918020248
YLR025W,YLL009C,0,0.6461386,0.0784313753247261,0.0037523452192544937,0.004731226246803999
YER153C,YGL255W,0,0.6442819,0.07692307978868484,0.0037523452192544937,0.0048318905755877495
YIR025W,YBR237W,0,0.643689,0.07547169923782349,0.0037523452192544937,0.0049325549043715
YLR395C,YBR298C,0,0.64260703,0.07407407462596893,0.0037523452192544937,0.0050332192331552505
YDR377W,YDR031W,1,0.6343767,0.09090909361839294,0.004690431524068117,0.0050332192331552505
YLR066W,YJR143C,0,0.6340986,0.0892857164144516,0.004690431524068117,0.005133883561939001
YOL136C,YOL151W,0,0.6336057,0.08771929889917374,0.004690431524068117,0.005234547890722752
