Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL138C,YMR146C,1,0.5469597,1.0,0.0009980039903894067,0.0
YMR039C,YLL028W,0,0.48075932,0.5,0.0009980039903894067,0.00010002000635722652
YMR146C,YPL237W,1,0.45426607,0.6666666865348816,0.0019960079807788134,0.00010002000635722652
YGR083C,YGR246C,1,0.41728783,0.75,0.002994012087583542,0.00010002000635722652
YER111C,YNL127W,0,0.38159168,0.6000000238418579,0.002994012087583542,0.00020004001271445304
YGL047W,YPR098C,0,0.37814575,0.5,0.002994012087583542,0.0003000600263476372
YKL173W,YJL209W,0,0.37336245,0.4285714328289032,0.002994012087583542,0.0004000800254289061
YJR047C,YMR146C,1,0.3590782,0.5,0.003992015961557627,0.0004000800254289061
YBL026W,YPL217C,0,0.35754076,0.4444444477558136,0.003992015961557627,0.000500100024510175
YPL237W,YOR361C,1,0.3538249,0.5,0.004990019835531712,0.000500100024510175
YPR041W,YOR260W,1,0.35169953,0.5454545617103577,0.005988024175167084,0.000500100024510175
YEL003W,YPL237W,0,0.35089165,0.5,0.005988024175167084,0.0006001200526952744
YOR116C,YGR098C,0,0.34752226,0.4615384638309479,0.005988024175167084,0.0007001400226727128
YJR145C,YPL237W,0,0.34257925,0.4285714328289032,0.005988024175167084,0.0008001600508578122
YBR079C,YAL035W,1,0.342016,0.46666666865348816,0.006986028049141169,0.0008001600508578122
YMR270C,YNL016W,0,0.33743268,0.4375,0.006986028049141169,0.0009001800208352506
YDL155W,YOL007C,0,0.33038563,0.4117647111415863,0.006986028049141169,0.00100020004902035
YJR007W,YGR246C,1,0.3246284,0.4444444477558136,0.007984031923115253,0.00100020004902035
YJR007W,YPL237W,1,0.32122946,0.4736842215061188,0.008982036262750626,0.00100020004902035
YJR137C,YPL031C,0,0.31956637,0.44999998807907104,0.008982036262750626,0.0011002200189977884
YNL244C,YPL237W,1,0.31584242,0.4761904776096344,0.009980039671063423,0.0011002200189977884
YJR007W,YOR361C,1,0.30574566,0.5,0.010978044010698795,0.0011002200189977884
YDR054C,YOL065C,0,0.3032089,0.47826087474823,0.010978044010698795,0.0012002401053905487
YDL147W,YOL089C,0,0.29632384,0.4583333432674408,0.010978044010698795,0.0013002600753679872
YNL244C,YJR014W,1,0.29629678,0.47999998927116394,0.011976048350334167,0.0013002600753679872
YER131W,YDR072C,0,0.29484808,0.4615384638309479,0.011976048350334167,0.0014002800453454256
YMR273C,YBL064C,0,0.29476023,0.4444444477558136,0.011976048350334167,0.001500300015322864
YBR018C,YOR153W,0,0.29154432,0.4285714328289032,0.011976048350334167,0.0016003201017156243
YLR340W,YLR389C,0,0.2904964,0.4137931168079376,0.011976048350334167,0.0017003400716930628
YDR137W,YGL180W,0,0.28953993,0.4000000059604645,0.011976048350334167,0.0018003600416705012
YDR051C,YBR213W,0,0.28325573,0.3870967626571655,0.011976048350334167,0.0019003801280632615
YKL156W,YMR269W,0,0.28271937,0.375,0.011976048350334167,0.0020004000980407
YDR065W,YNL252C,0,0.28050995,0.3636363744735718,0.011976048350334167,0.0021004201844334602
YHR067W,YKL010C,0,0.28045222,0.3529411852359772,0.011976048350334167,0.002200440037995577
YMR139W,YPL153C,0,0.2798138,0.34285715222358704,0.011976048350334167,0.002300460124388337
YDR429C,YOR361C,1,0.27852428,0.3611111044883728,0.012974051758646965,0.002300460124388337
YPL237W,YLL050C,0,0.27769104,0.3513513505458832,0.012974051758646965,0.0024004802107810974
YOR212W,YCR034W,0,0.27750754,0.34210526943206787,0.012974051758646965,0.002500500064343214
YJR015W,YKL017C,0,0.2720135,0.3333333432674408,0.012974051758646965,0.0026005201507359743
YMR282C,YCR077C,1,0.2711345,0.3499999940395355,0.013972056098282337,0.0026005201507359743
YMR282C,YMR260C,1,0.27108943,0.3658536672592163,0.014970059506595135,0.0026005201507359743
YMR282C,YER165W,1,0.2710573,0.380952388048172,0.015968063846230507,0.0026005201507359743
YMR154C,YOL052C,0,0.2700654,0.3720930218696594,0.015968063846230507,0.002700540004298091
YPR041W,YNL062C,1,0.26961493,0.3863636255264282,0.016966067254543304,0.002700540004298091
YGR186W,YGL095C,0,0.26689777,0.3777777850627899,0.016966067254543304,0.002800560090690851
YJR090C,YBR006W,0,0.2627998,0.3695652186870575,0.016966067254543304,0.0029005801770836115
YOL003C,YPR049C,0,0.26231125,0.3617021143436432,0.016966067254543304,0.003000600030645728
YDR229W,YGL128C,0,0.26201758,0.3541666567325592,0.016966067254543304,0.0031006201170384884
YER165W,YGR246C,1,0.25994435,0.36734694242477417,0.01796407252550125,0.0031006201170384884
YPL218W,YDL236W,0,0.25919592,0.36000001430511475,0.01796407252550125,0.0032006402034312487
YMR309C,YGR054W,1,0.25906354,0.37254902720451355,0.01896207593381405,0.0032006402034312487
YKL130C,YJL209W,0,0.2585265,0.36538460850715637,0.01896207593381405,0.0033006600569933653
YKL073W,YGL120C,0,0.25704446,0.35849055647850037,0.01896207593381405,0.0034006801433861256
YGR054W,YGR246C,1,0.25594118,0.37037035822868347,0.019960079342126846,0.0034006801433861256
YER025W,YAL035W,1,0.25466847,0.38181817531585693,0.020958084613084793,0.0034006801433861256
YPL124W,YJL071W,0,0.2519091,0.375,0.020958084613084793,0.003500700229778886
YGR014W,YPL256C,0,0.24940357,0.3684210479259491,0.020958084613084793,0.0036007200833410025
YPL195W,YDR177W,0,0.24827011,0.36206895112991333,0.020958084613084793,0.0037007401697337627
YAL035W,YER165W,1,0.24673706,0.37288135290145874,0.02195608802139759,0.0037007401697337627
YDR447C,YML074C,0,0.24362354,0.36666667461395264,0.02195608802139759,0.003800760256126523
YJR047C,YPL226W,0,0.24223451,0.3606557250022888,0.02195608802139759,0.0039007801096886396
YBR187W,YKL004W,0,0.24173982,0.35483869910240173,0.02195608802139759,0.0040008001960814
YKL130C,YJR033C,0,0.23861039,0.3492063581943512,0.02195608802139759,0.0041008200496435165
YBR166C,YPR166C,0,0.23846115,0.34375,0.02195608802139759,0.0042008403688669205
YDR494W,YGL141W,0,0.23625858,0.3384615480899811,0.02195608802139759,0.004300860222429037
YMR146C,YDR429C,1,0.2335422,0.3484848439693451,0.022954091429710388,0.004300860222429037
YNL075W,YEL040W,0,0.23230657,0.34328359365463257,0.022954091429710388,0.004400880075991154
YJR007W,YOR260W,1,0.23209868,0.3529411852359772,0.023952096700668335,0.004400880075991154
YKL113C,YJL178C,0,0.2299087,0.3478260934352875,0.023952096700668335,0.004500900395214558
YGR274C,YGR227W,0,0.22989629,0.34285715222358704,0.023952096700668335,0.004600920248776674
YLR025W,YKL100C,0,0.22926266,0.3380281627178192,0.023952096700668335,0.004700940102338791
