Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR109W-A,YOR138C,0,-0.35724485,0.0,0.0,0.00011074197391280904
YMR075W,YHL009W-B,0,-0.36795574,0.0,0.0,0.0002214839478256181
YCR028C,YGR109W-B,0,-0.36882916,0.0,0.0,0.0003322258999105543
YGR109W-A,YDR260C,0,-0.36886522,0.0,0.0,0.0004429678956512362
YMR070W,YLR410W-B,0,-0.37138999,0.0,0.0,0.0005537098622880876
YNL293W,YER159C-A,0,-0.37536943,0.0,0.0,0.0006644517998211086
YGL095C,YLR410W-B,0,-0.3773523,0.0,0.0,0.0007751937955617905
YGR109W-A,YNL102W,0,-0.3822465,0.0,0.0,0.0008859357913024724
YDR516C,YGR161W-B,0,-0.38460743,0.0,0.0,0.0009966777870431542
YKL029C,YNL054W-A,0,-0.387249,0.0,0.0,0.0011074197245761752
YGR161W-A,YGL251C,0,-0.3906294,0.0,0.0,0.0012181616621091962
YGR161W-B,YGL251C,0,-0.3915781,0.0,0.0,0.0013289035996422172
YNL041C,YER159C-A,0,-0.3948685,0.0,0.0,0.00143964565359056
YOR273C,YLR035C-A,0,-0.39513046,0.0,0.0,0.001550387591123581
YGR161W-B,YIL156W,0,-0.39636943,0.0,0.0,0.001661129528656602
YGR109W-A,YMR094W,0,-0.40126806,0.0,0.0,0.0017718715826049447
YNL054W-A,YMR312W,0,-0.4016496,0.0,0.0,0.0018826135201379657
YGR109W-A,YDL121C,0,-0.40486783,0.0,0.0,0.0019933555740863085
YPR152C,YDR210W-B,0,-0.4049486,0.0,0.0,0.0021040975116193295
YGR161W-B,YLR006C,0,-0.40645054,0.0,0.0,0.0022148394491523504
YDL227C,YOR142W-B,0,-0.40700287,0.0,0.0,0.0023255813866853714
YNL284C-A,YHR136C,0,-0.4085495,0.0,0.0,0.0024363233242183924
YGR109W-A,YML081W,0,-0.40955886,0.0,0.0,0.0025470652617514133
YJR117W,YOR142W-B,0,-0.4104879,0.0,0.0,0.0026578071992844343
YLR440C,YOR142W-A,0,-0.41227257,0.0,0.0,0.002768549369648099
YOL103W-B,YER005W,0,-0.41230378,0.0,0.0,0.00287929130718112
YNR013C,YGR161W-A,0,-0.41332376,0.0,0.0,0.002990033244714141
YLL016W,YLR410W-A,0,-0.41425014,0.0,0.0,0.003100775182247162
YDR316W-B,YPL112C,0,-0.4148026,0.0,0.0,0.003211517119780183
YER137C-A,YJL071W,0,-0.41593686,0.0,0.0,0.003322259057313204
YNL274C,YGR161W-A,0,-0.41649425,0.0,0.0,0.003433000994846225
YLL034C,YGR109W-B,0,-0.41650698,0.0,0.0,0.0035437431652098894
YJR120W,YOR192C-A,0,-0.41766524,0.0,0.0,0.0036544851027429104
YMR286W,YGR109W-A,0,-0.41896847,0.0,0.0,0.0037652270402759314
YGR027W-B,YPR042C,0,-0.41928515,0.0,0.0,0.0038759689778089523
YFL002W-B,YGR253C,0,-0.41972888,0.0,0.0,0.003986711148172617
YER176W,YOR142W-B,0,-0.42019954,0.0,0.0,0.004097452852874994
YDR261W-A,YGR167W,0,-0.42264196,0.0,0.0,0.004208195023238659
YBR058C-A,YDL117W,0,-0.42285025,0.0,0.0,0.004318936727941036
YNL015W,YHL009W-B,0,-0.42367008,0.0,0.0,0.004429678898304701
YPR137C-B,YNL156C,0,-0.42514512,0.0,0.0,0.004540420603007078
YBR291C,YOL103W-B,0,-0.42674348,0.0,0.0,0.004651162773370743
YLR024C,YDR098C-B,0,-0.42685112,0.0,0.0,0.004761904943734407
YOL103W-B,YMR221C,0,-0.42947876,0.0,0.0,0.004872646648436785
YDR261W-A,YIL170W,0,-0.42954254,0.0,0.0,0.004983388818800449
