Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER160C,YML039W,1,6.884659,1.0,0.0010000000474974513,0.0
YBR012W-B,YMR045C,1,6.381076,1.0,0.0020000000949949026,0.0
YCL019W,YMR050C,1,6.298305,1.0,0.003000000026077032,0.0
YER138C,YHR214C-B,1,6.165968,1.0,0.004000000189989805,0.0
YBR012W-A,YJR028W,1,6.077183,1.0,0.004999999888241291,0.0
YML039W,YMR050C,1,5.9703856,1.0,0.006000000052154064,0.0
YCL019W,YER138C,1,5.8333864,1.0,0.007000000216066837,0.0
YCL019W,YMR045C,1,5.473428,1.0,0.00800000037997961,0.0
YBR012W-B,YCL019W,1,5.423324,1.0,0.008999999612569809,0.0
YCL019W,YER160C,1,5.2105117,1.0,0.009999999776482582,0.0
YBL005W-A,YJR028W,1,5.1260195,1.0,0.010999999940395355,0.0
YJR026W,YML040W,1,4.86226,1.0,0.012000000104308128,0.0
YBR012W-B,YHR214C-B,1,4.7747803,1.0,0.013000000268220901,0.0
YBL100W-B,YCL019W,1,4.7310104,1.0,0.014000000432133675,0.0
YAR010C,YJR026W,1,4.5634966,1.0,0.014999999664723873,0.0
YAR010C,YJR028W,1,4.4287167,1.0,0.01600000075995922,0.0
YAR010C,YMR046C,1,4.3380947,1.0,0.017000000923871994,0.0
YBL100W-B,YMR045C,1,4.332733,1.0,0.017999999225139618,0.0
YHR214C-B,YML039W,1,4.2562265,1.0,0.01899999938905239,0.0
YML039W,YML045W,1,3.5462334,1.0,0.019999999552965164,0.0
YML045W,YMR045C,1,3.536031,1.0,0.020999999716877937,0.0
YER138C,YJR029W,1,3.3867836,1.0,0.02199999988079071,0.0
YCL020W,YER138C,1,3.2801437,1.0,0.023000000044703484,0.0
YJR026W,YMR050C,1,3.2590058,1.0,0.024000000208616257,0.0
YER138C,YMR046C,1,3.254615,1.0,0.02500000037252903,0.0
YOL103W-A,YPR158W-A,1,3.2344434,1.0,0.026000000536441803,0.0
YML040W,YML045W,1,3.187534,1.0,0.027000000700354576,0.0
YHR214C-B,YJR028W,1,3.0736892,1.0,0.02800000086426735,0.0
YJR029W,YML045W,1,3.004794,1.0,0.028999999165534973,0.0
YHR214C-B,YML040W,1,2.9672964,1.0,0.029999999329447746,0.0
YBR012W-A,YCL019W,1,2.9663556,1.0,0.03099999949336052,0.0
YCL020W,YJR028W,1,2.8205187,1.0,0.03200000151991844,0.0
YBR012W-B,YFL002W-A,1,2.712562,1.0,0.032999999821186066,0.0
YML040W,YMR050C,1,2.6805375,1.0,0.03400000184774399,0.0
YGR038C-A,YPR137C-A,1,2.5776503,1.0,0.03500000014901161,0.0
YMR046C,YMR050C,1,2.5390036,1.0,0.035999998450279236,0.0
YCL020W,YML040W,1,2.5279512,1.0,0.03700000047683716,0.0
YER160C,YMR046C,1,2.5212848,1.0,0.03799999877810478,0.0
YBL005W-B,YER160C,1,2.341573,1.0,0.039000000804662704,0.0
YAR010C,YBR012W-B,1,2.3367155,1.0,0.03999999910593033,0.0
YER160C,YJR026W,1,2.3118699,1.0,0.04100000113248825,0.0
YCL020W,YJR026W,1,2.2103877,1.0,0.041999999433755875,0.0
YFL002W-A,YMR050C,1,2.1242995,1.0,0.0430000014603138,0.0
YCL020W,YHR214C-B,1,2.006503,1.0,0.04399999976158142,0.0
YBL100W-B,YFL002W-A,1,1.9606612,1.0,0.04500000178813934,0.0
YBL005W-A,YMR050C,1,1.877094,1.0,0.04600000008940697,0.0
YCL020W,YMR046C,1,1.8499362,1.0,0.04699999839067459,0.0
YER137C-A,YER159C-A,1,1.6959661,1.0,0.04800000041723251,0.0
YHR214C-C,YPR158W-A,1,1.6855766,1.0,0.04899999871850014,0.0
YDR210C-D,YER160C,1,1.677784,1.0,0.05000000074505806,0.0
YAR010C,YDR316W-A,1,1.6207165,1.0,0.050999999046325684,0.0
YDR210C-D,YLR157C-B,1,1.5601678,1.0,0.052000001072883606,0.0
YPL257W-B,YPR158W-B,1,1.4940809,1.0,0.05299999937415123,0.0
YGR038C-A,YHR214C-C,1,1.4835038,1.0,0.05400000140070915,0.0
YBL005W-A,YDR170W-A,1,1.4423745,1.0,0.054999999701976776,0.0
YER159C-A,YLR227W-A,1,1.4278817,1.0,0.0560000017285347,0.0
YER137C-A,YPR137C-A,1,1.3586273,1.0,0.05700000002980232,0.0
YDR210C-D,YDR316W-B,1,1.355961,1.0,0.057999998331069946,0.0
YGR038C-B,YMR045C,1,1.3479632,1.0,0.05900000035762787,0.0
YDR316W-B,YLR157C-B,1,1.3076862,1.0,0.05999999865889549,0.0
YHR214C-B,YLR157C-B,1,1.2673011,1.0,0.061000000685453415,0.0
YLR227W-A,YPR158W-A,1,1.2646073,1.0,0.06199999898672104,0.0
YDR210C-D,YDR210W-B,1,1.2619139,1.0,0.06300000101327896,0.0
YCL019W,YML040W,1,1.2244772,1.0,0.06400000303983688,0.0
YOR343W-B,YPR158C-D,1,1.2160236,1.0,0.06499999761581421,0.0
YCL020W,YLR410W-A,1,1.2079153,1.0,0.06599999964237213,0.0
YMR045C,YPR158C-D,1,1.1777321,1.0,0.06700000166893005,0.0
YCL020W,YDR034C-C,1,1.1610683,1.0,0.06800000369548798,0.0
YGR161C-D,YHR214C-B,1,1.1499598,1.0,0.0689999982714653,0.0
YBL100W-B,YML040W,1,1.1301049,1.0,0.07000000029802322,0.0
YBR012W-A,YPL257W-A,1,1.1165931,1.0,0.07100000232458115,0.0
YPL257W-B,YPR158C-D,1,1.1068459,1.0,0.07199999690055847,0.0
YMR050C,YOR142W-A,1,1.0984911,1.0,0.0729999989271164,0.0
YDR034C-C,YER160C,1,1.0984911,1.0,0.07400000095367432,0.0
YBL100W-B,YJR028W,1,1.0414224,1.0,0.07500000298023224,0.0
YBL100W-B,YDR034C-C,1,1.0245088,1.0,0.07599999755620956,0.0
YDR316W-B,YMR045C,1,1.0231098,1.0,0.07699999958276749,0.0
YDR034C-C,YGR038C-B,1,1.0035263,1.0,0.07800000160932541,0.0
YGR038C-B,YOR142W-A,1,0.9579629,1.0,0.07900000363588333,0.0
YCL019W,YDR316W-A,1,0.916643,1.0,0.07999999821186066,0.0
YDR261W-A,YPR137C-A,1,0.916643,1.0,0.08100000023841858,0.0
YBL005W-B,YGR161C-D,1,0.90915966,1.0,0.0820000022649765,0.0
YMR045C,YNL284C-B,1,0.874702,1.0,0.08299999684095383,0.0
YBL005W-B,YPL257W-B,1,0.8732035,1.0,0.08399999886751175,0.0
YDR034C-C,YDR316W-A,1,0.8717052,1.0,0.08500000089406967,0.0
YHR214C-B,YIL082W-A,1,0.8627651,1.0,0.0860000029206276,0.0
YDR170W-A,YJR028W,1,0.86123157,1.0,0.08699999749660492,0.0
YMR045C,YPL257W-B,1,0.86109245,1.0,0.08799999952316284,0.0
YBL100W-B,YDR316W-B,1,0.853444,1.0,0.08900000154972076,0.0
YDR034C-C,YLR410W-A,1,0.84579456,1.0,0.09000000357627869,0.0
YAR010C,YPL257W-B,1,0.8350853,1.0,0.09099999815225601,0.0
YLR227W-A,YOR192C-A,1,0.8350853,1.0,0.09200000017881393,0.0
YER138C,YLR035C-A,1,0.79847944,1.0,0.09300000220537186,0.0
YDR034C-C,YPR158W-B,1,0.78435516,1.0,0.09399999678134918,0.0
YAR010C,YDR034C-C,1,0.7734747,1.0,0.0949999988079071,0.0
YBL100W-B,YDR098C-B,1,0.7530875,1.0,0.09600000083446503,0.0
YMR050C,YPR137C-B,1,0.7372308,1.0,0.09700000286102295,0.0
YDR170W-A,YMR050C,1,0.71551406,1.0,0.09799999743700027,0.0
YDR098C-B,YDR316W-A,1,0.70075727,1.0,0.0989999994635582,0.0
YAR010C,YDR210C-D,1,0.6798527,1.0,0.10000000149011612,0.0
YER138C,YLR410W-A,1,0.66528404,1.0,0.10100000351667404,0.0
YHR214C-B,YPR137C-B,1,0.66042817,1.0,0.10199999809265137,0.0
YML039W,YPR158C-D,1,0.6230637,1.0,0.10300000011920929,0.0
YDR210W-B,YGR038C-B,1,0.60994196,1.0,0.10400000214576721,0.0
YAR010C,YPR158C-D,1,0.60502064,1.0,0.10499999672174454,0.0
YLR157C-B,YOR142W-A,1,0.593539,1.0,0.10599999874830246,0.0
YGR161C-D,YOR343W-A,1,0.5886179,1.0,0.10700000077486038,0.0
YDR170W-A,YOR142W-A,1,0.58202374,1.0,0.1080000028014183,0.0
YDR170W-A,YDR316W-A,1,0.5720732,1.0,0.10899999737739563,0.0
YCL019W,YGR161C-D,1,0.5488547,1.0,0.10999999940395355,0.0
YDR098C-B,YMR045C,1,0.54385114,1.0,0.11100000143051147,0.0
YDR210C-D,YDR316W-A,1,0.5421753,1.0,0.1120000034570694,0.0
YDR098C-B,YOR343W-A,1,0.5371424,1.0,0.11299999803304672,0.0
YDR316W-A,YDR316W-B,1,0.5287492,1.0,0.11400000005960464,0.0
YDR170W-A,YML039W,1,0.5130284,1.0,0.11500000208616257,0.0
YBL005W-B,YBR012W-A,1,0.5008068,1.0,0.11599999666213989,0.0
YBL005W-B,YGR038C-B,1,0.48335576,1.0,0.11699999868869781,0.0
YER160C,YOR142W-A,1,0.4766307,1.0,0.11800000071525574,0.0
YCL019W,YPR158C-D,1,0.4362465,1.0,0.11900000274181366,0.0
YCL019W,YPR137C-B,1,0.42950678,1.0,0.11999999731779099,0.0
YGR161W-B,YML039W,1,0.42613673,1.0,0.12099999934434891,0.0
YBR012W-B,YPR158C-D,1,0.40928626,1.0,0.12200000137090683,0.0
YFL002W-A,YGR161C-D,1,0.40254617,1.0,0.12300000339746475,0.0
YBR012W-B,YPR137C-B,1,0.3785571,1.0,0.12399999797344208,0.0
YER138C,YOR142W-A,1,0.37341142,1.0,0.125,0.0
YOR343W-B,YPR158W-B,1,0.37169552,1.0,0.12600000202655792,0.0
YDR316W-A,YNL284C-B,1,0.34449005,1.0,0.12700000405311584,0.0
YER138C,YLR157C-B,1,0.3343686,1.0,0.12800000607967377,0.0
YML039W,YNL284C-B,1,0.33268166,1.0,0.1289999932050705,0.0
YDR365W-A,YMR046C,1,0.32087302,1.0,0.12999999523162842,0.0
YIL080W,YMR045C,1,0.3148328,1.0,0.13099999725818634,0.0
YFL002W-A,YJR029W,1,0.29921746,1.0,0.13199999928474426,0.0
YBL100W-B,YOR142W-A,1,0.2820685,1.0,0.13300000131130219,0.0
YDR316W-A,YLR410W-A,1,0.2769854,1.0,0.1340000033378601,0.0
YBR012W-A,YPR158C-D,1,0.26682043,1.0,0.13500000536441803,0.0
YBR012W-B,YLR410W-A,1,0.26004314,1.0,0.13600000739097595,0.0
YLR157C-B,YMR050C,1,0.26004314,1.0,0.13699999451637268,0.0
YGR038C-A,YML040W,1,0.25326467,1.0,0.1379999965429306,0.0
YCL020W,YOR142W-A,1,0.2176299,1.0,0.13899999856948853,0.0
YLR035C-A,YMR045C,1,0.20153521,1.0,0.14000000059604645,0.0
YDR210W-B,YER138C,1,0.18703459,1.0,0.14100000262260437,0.0
YCL020W,YPR158W-B,1,0.18533443,1.0,0.1420000046491623,0.0
YOR343W-B,YPR137C-B,1,0.18023585,1.0,0.14300000667572021,0.0
YDR034C-C,YMR050C,1,0.17002057,1.0,0.14399999380111694,0.0
YFL002W-A,YGR038C-B,1,0.16831611,1.0,0.14499999582767487,0.0
YDR316W-A,YER138C,1,0.16661237,1.0,0.1459999978542328,0.0
YBR012W-B,YOR343W-B,1,0.14109562,1.0,0.1469999998807907,0.0
YBL005W-B,YDR316W-A,1,0.1326723,1.0,0.14800000190734863,0.0
YDR098C-B,YER138C,1,0.12930225,1.0,0.14900000393390656,0.0
YGR161W-A,YPR158W-A,1,0.12087844,1.0,0.15000000596046448,0.0
YBR012W-A,YLR157C-B,1,0.1141393,1.0,0.1509999930858612,0.0
YGR161C-D,YGR161W-B,1,0.10234593,1.0,0.15199999511241913,0.0
YDR034C-C,YGR161W-B,1,0.087182745,1.0,0.15299999713897705,0.0
YDR316W-A,YPL257W-B,1,0.07707451,1.0,0.15399999916553497,0.0
YGR161W-B,YMR045C,1,0.060202345,1.0,0.1550000011920929,0.0
YBL100W-B,YDR316W-A,1,0.046577916,1.0,0.15600000321865082,0.0
YDR316W-A,YPR158C-D,1,0.026141867,1.0,0.15700000524520874,0.0
YLR157C-B,YPL257W-A,1,-0.011323467,1.0,0.15800000727176666,0.0
YLR157C-B,YLR410W-A,1,-0.023244634,1.0,0.1589999943971634,0.0
YML039W,YPL257W-A,1,-0.040274635,1.0,0.1599999964237213,0.0
YDR210W-B,YPL257W-B,1,-0.047086492,1.0,0.16099999845027924,0.0
YMR050C,YNL284C-B,1,-0.048789516,1.0,0.16200000047683716,0.0
YER160C,YPL257W-A,1,-0.059008136,1.0,0.16300000250339508,0.0
YPL257W-A,YPR158C-D,1,-0.10158421,1.0,0.164000004529953,0.0
YDR316W-B,YFL002W-A,1,-0.10328843,1.0,0.16500000655651093,0.0
YDR261W-A,YJR029W,1,-0.11010529,1.0,0.16599999368190765,0.0
YHR214C-C,YML040W,1,-0.14077927,1.0,0.16699999570846558,0.0
YBR012W-A,YPL257W-B,1,-0.14418747,1.0,0.1679999977350235,0.0
YCL019W,YOR343W-B,1,-0.16975023,1.0,0.16899999976158142,0.0
YOR343W-A,YPR158W-B,1,-0.17997529,1.0,0.17000000178813934,0.0
YER138C,YPL257W-A,1,-0.195251,1.0,0.17100000381469727,0.0
YJR028W,YLR035C-A,1,-0.20421888,1.0,0.1720000058412552,0.0
YDR034C-D,YPL257W-B,1,-0.21723296,1.0,0.17299999296665192,0.0
YDR034C-D,YPR158C-D,1,-0.22738267,1.0,0.17399999499320984,0.0
YLR410W-A,YPL257W-A,1,-0.22738267,1.0,0.17499999701976776,0.0
YIL082W-A,YMR046C,1,-0.2332988,1.0,0.17599999904632568,0.0
YCL019W,YLR410W-A,1,-0.24427988,1.0,0.1770000010728836,0.0
YDR210W-B,YPR137C-B,1,-0.27421212,1.0,0.17800000309944153,0.0
YDR034C-D,YPR158W-B,1,-0.3134954,1.0,0.17900000512599945,0.0
YBL100W-B,YOR343W-B,1,-0.32167983,1.0,0.18000000715255737,0.0
YBR012W-A,YGR161W-B,1,-0.32167983,1.0,0.1809999942779541,0.0
YBL005W-B,YCL020W,1,-0.32924652,1.0,0.18199999630451202,0.0
YGR161W-B,YOR142W-A,1,-0.3489418,1.0,0.18299999833106995,0.0
YAR010C,YDR210W-B,1,-0.3489418,1.0,0.18400000035762787,0.0
YGR161C-C,YLR256W-A,1,-0.38252187,1.0,0.1850000023841858,0.0
YDR316W-A,YGR161W-B,1,-0.41298962,1.0,0.1860000044107437,0.0
YIL082W-A,YJR026W,1,-0.42020893,1.0,0.18700000643730164,0.0
YCL020W,YFL002W-A,1,-0.4207282,1.0,0.18799999356269836,0.0
YJR029W,YPR158W-A,1,-0.4437251,1.0,0.1889999955892563,0.0
YJR029W,YOL103W-A,1,-0.4550774,1.0,0.1899999976158142,0.0
YER104W,YGR038C-B,1,-0.45994258,1.0,0.19099999964237213,0.0
