Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR420W,YDR447C,0,,0.0,0.0,0.000735294132027775
YIL004C,YER006W,0,,0.0,0.0,0.00147058826405555
YPL151C,YNL216W,0,,0.0,0.0,0.002205882454290986
YDL216C,YOL102C,0,,0.0,0.0,0.0029411765281111
YML038C,YCL019W,0,,0.0,0.0,0.0036764706019312143
YDR382W,YOL103W-A,0,,0.0,0.0,0.004411764908581972
YER167W,YBR130C,0,,0.0,0.0,0.005147058982402086
YPR049C,YKL088W,0,,0.0,0.0,0.0058823530562222
YNL199C,YOL121C,0,,0.0,0.0,0.0066176471300423145
YML048W,YER031C,0,,0.0,0.0,0.007352941203862429
YDR256C,YDR411C,0,,0.0,0.0,0.00808823574334383
YCR063W,YLR022C,0,,0.0,0.0,0.008823529817163944
YIL140W,YKR038C,0,,0.0,0.0,0.009558823890984058
YNL167C,YGL212W,0,,0.0,0.0,0.010294117964804173
YGR257C,YPR191W,0,,0.0,0.0,0.011029412038624287
YLR274W,YJR010C-A,0,,0.0,0.0,0.0117647061124444
YKL138C-A,YHR075C,0,,0.0,0.0,0.012500000186264515
YKL192C,YNL262W,0,,0.0,0.0,0.013235294260084629
YMR312W,YDR427W,0,,0.0,0.0,0.013970588333904743
YCR073C,YCL063W,0,,0.0,0.0,0.014705882407724857
YOR030W,YJR028W,0,,0.0,0.0,0.015441176481544971
YPR135W,YFL016C,0,,0.0,0.0,0.01617647148668766
YGR077C,YAL023C,0,,0.0,0.0,0.016911765560507774
YDR465C,YOR297C,0,,0.0,0.0,0.01764705963432789
YIL160C,YPL026C,0,,0.0,0.0,0.018382353708148003
YBR236C,YER183C,0,,0.0,0.0,0.019117647781968117
YGR267C,YGR281W,0,,0.0,0.0,0.01985294185578823
YDR425W,YIL031W,0,,0.0,0.0,0.020588235929608345
YOR046C,YOR245C,0,,0.0,0.0,0.02132353000342846
YDR363W,YDR201W,0,,0.0,0.0,0.022058824077248573
YKR019C,YNL071W,0,,0.0,0.0,0.022794118151068687
YJR127C,YDL076C,0,,0.0,0.0,0.0235294122248888
YBL022C,YCR067C,0,,0.0,0.0,0.024264706298708916
YIL150C,YER104W,0,,0.0,0.0,0.02500000037252903
YDR038C,YDR314C,0,,0.0,0.0,0.025735294446349144
YLR371W,YIL061C,0,,0.0,0.0,0.026470588520169258
YMR164C,YER137C-A,0,,0.0,0.0,0.027205882593989372
YML036W,YGR268C,0,,0.0,0.0,0.027941176667809486
YKR027W,YNL264C,0,,0.0,0.0,0.0286764707416296
YDR499W,YLR357W,0,,0.0,0.0,0.029411764815449715
YNR007C,YOR299W,0,,0.0,0.0,0.03014705888926983
YGR261C,YDL017W,0,,0.0,0.0,0.030882352963089943
YEL037C,YJL154C,0,,0.0,0.0,0.031617648899555206
YPR187W,YER129W,0,,0.0,0.0,0.03235294297337532
YHR161C,YDR365W-A,0,,0.0,0.0,0.033088237047195435
YEL030W,YBR173C,0,,0.0,0.0,0.03382353112101555
YBL016W,YDR103W,0,,0.0,0.0,0.03455882519483566
YBR119W,YER029C,0,,0.0,0.0,0.03529411926865578
YDL126C,YLR335W,0,,0.0,0.0,0.03602941334247589
YOL078W,YGR120C,0,,0.0,0.0,0.036764707416296005
YLR353W,YBR175W,0,,0.0,0.0,0.03750000149011612
YDL077C,YNL241C,0,,0.0,0.0,0.038235295563936234
YLR259C,YNR003C,0,,0.0,0.0,0.03897058963775635
YBR035C,YDR083W,0,,0.0,0.0,0.03970588371157646
YGL236C,YLR090W,0,,0.0,0.0,0.040441177785396576
