Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR181C,YDR447C,1,33.33895,1.0,0.0009930486558005214,0.0
YBR189W,YDR447C,1,31.228863,1.0,0.0019860973116010427,0.0
YGR118W,YDR447C,1,30.339806,1.0,0.002979146083816886,0.0
YBL072C,YER074W,1,29.719107,1.0,0.0039721946232020855,0.0
YDR447C,YDR025W,1,29.614185,1.0,0.004965243395417929,0.0
YML026C,YML024W,1,29.535326,1.0,0.005958292167633772,0.0
YML026C,YLR048W,1,29.00707,1.0,0.006951340474188328,0.0
YBR048W,YDR025W,1,28.32626,1.0,0.007944389246404171,0.0
YNL302C,YMR143W,1,27.091461,1.0,0.008937438018620014,0.0
YLR048W,YNL302C,1,26.930935,1.0,0.009930486790835857,0.0
YPR132W,YDR447C,1,26.578297,1.0,0.0109235355630517,0.0
YBR181C,YMR143W,1,26.078514,1.0,0.011916584335267544,0.0
YGR214W,YDR450W,1,25.805393,1.0,0.012909632176160812,0.0
YKL156W,YER102W,1,25.717545,1.0,0.013902680948376656,0.0
YDR450W,YDR025W,1,25.430973,1.0,0.014895729720592499,0.0
YML024W,YLR048W,1,25.4057,1.0,0.015888778492808342,0.0
YML024W,YMR143W,1,25.30756,1.0,0.016881827265024185,0.0
YKL156W,YHR021C,1,25.173603,1.0,0.01787487603724003,0.0
YKL156W,YBR181C,1,25.081621,1.0,0.01886792480945587,0.0
YBL072C,YDR447C,1,25.029276,1.0,0.019860973581671715,0.0
YDL083C,YDR064W,1,24.991951,1.0,0.020854022353887558,0.0
YPR132W,YKR057W,1,24.97826,1.0,0.0218470711261034,0.0
YKL156W,YMR143W,1,24.852734,1.0,0.022840119898319244,0.0
YGR118W,YML026C,1,24.18766,1.0,0.023833168670535088,0.0
YGR118W,YOL121C,1,24.028746,1.0,0.02482621558010578,0.0
YDR025W,YKR057W,1,23.917923,1.0,0.025819264352321625,0.0
YGR118W,YLR048W,1,23.771038,1.0,0.026812313124537468,0.0
YJL136C,YML024W,1,23.675026,1.0,0.02780536189675331,0.0
YBR048W,YBR189W,1,23.331474,1.0,0.028798410668969154,0.0
YKL156W,YBL072C,1,22.719528,1.0,0.029791459441184998,0.0
YML024W,YGR118W,1,22.658188,1.0,0.03078450821340084,0.0
YDR450W,YMR143W,1,22.543472,1.0,0.031777556985616684,0.0
YKL156W,YDR064W,1,22.212074,1.0,0.032770607620477676,0.0
YGR118W,YER102W,1,22.03783,1.0,0.03376365453004837,0.0
YDL136W,YGL031C,0,21.914295,0.9714285731315613,0.03376365453004837,0.00010007005039369687
YBR048W,YLR048W,1,21.894173,0.9722222089767456,0.034756701439619064,0.00010007005039369687
YOL121C,YML026C,1,21.624846,0.9729729890823364,0.03574975207448006,0.00010007005039369687
YGR214W,YBR181C,1,21.400959,0.9736841917037964,0.03674279898405075,0.00010007005039369687
YML024W,YHR021C,1,21.148813,0.9743589758872986,0.03773584961891174,0.00010007005039369687
YGR118W,YBR181C,1,20.868538,0.9750000238418579,0.03872889652848244,0.00010007005039369687
YPL090C,YER102W,1,20.589554,0.9756097793579102,0.03972194716334343,0.00010007005039369687
YDL083C,YGR118W,1,19.901577,0.976190447807312,0.040714994072914124,0.00010007005039369687
YPL081W,YJL191W,1,19.870861,0.9767441749572754,0.041708044707775116,0.00010007005039369687
YIL069C,YKR057W,1,19.470284,0.9772727489471436,0.04270109161734581,0.00010007005039369687
YJL136C,YNL302C,1,19.264963,0.9777777791023254,0.0436941422522068,0.00010007005039369687
YDR447C,YJL191W,1,19.231533,0.97826087474823,0.044687189161777496,0.00010007005039369687
YDR064W,YMR143W,1,19.11425,0.978723406791687,0.04568023979663849,0.00010007005039369687
YGR118W,YER074W,1,19.04866,0.9791666865348816,0.04667328670620918,0.00010007005039369687
YDR064W,YHR021C,1,18.651678,0.9795918464660645,0.047666337341070175,0.00010007005039369687
YGR214W,YKR057W,1,18.148525,0.9800000190734863,0.04865938425064087,0.00010007005039369687
YJL136C,YPL090C,1,17.951252,0.9803921580314636,0.04965243116021156,0.00010007005039369687
YBL072C,YPL090C,1,17.761047,0.9807692170143127,0.050645481795072556,0.00010007005039369687
YDR064W,YDR450W,1,17.664715,0.9811320900917053,0.05163852870464325,0.00010007005039369687
YBR181C,YHR021C,1,17.488674,0.9814814925193787,0.05263157933950424,0.00010007005039369687
YCR031C,YKR057W,1,17.464268,0.9818181991577148,0.053624626249074936,0.00010007005039369687
YDR447C,YLR441C,1,17.420456,0.9821428656578064,0.05461767688393593,0.00010007005039369687
YJL136C,YLR048W,1,17.396534,0.9824561476707458,0.05561072379350662,0.00010007005039369687
YJL136C,YCR031C,1,17.04246,0.982758641242981,0.056603774428367615,0.00010007005039369687
YCR031C,YDR025W,1,16.840899,0.9830508232116699,0.05759682133793831,0.00010007005039369687
YHR196W,YDL148C,1,16.602108,0.9833333492279053,0.0585898719727993,0.00010007005039369687
YGR214W,YDR064W,1,16.465328,0.9836065769195557,0.059582918882369995,0.00010007005039369687
YOL121C,YBR189W,1,16.278357,0.9838709831237793,0.06057596951723099,0.00010007005039369687
YNL308C,YDL153C,1,16.144484,0.9841269850730896,0.06156901642680168,0.00010007005039369687
YJL136C,YER102W,1,16.137455,0.984375,0.06256206333637238,0.00010007005039369687
YBR189W,YJL191W,1,16.13461,0.9846153855323792,0.06355511397123337,0.00010007005039369687
YGR118W,YIL069C,1,15.8779955,0.9848484992980957,0.06454816460609436,0.00010007005039369687
YOL121C,YBR181C,1,15.8254,0.9850746393203735,0.06554121524095535,0.00010007005039369687
YKL156W,YJL191W,1,15.563122,0.9852941036224365,0.06653425842523575,0.00010007005039369687
YPL081W,YPR132W,1,15.556709,0.9855072498321533,0.06752730906009674,0.00010007005039369687
YDR064W,YBR048W,1,15.297414,0.9857142567634583,0.06852035969495773,0.00010007005039369687
YPL081W,YNL302C,1,15.246357,0.98591548204422,0.06951340287923813,0.00010007005039369687
YHR196W,YML026C,1,15.2127075,0.9861111044883728,0.07050645351409912,0.00010007005039369687
