Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLL041C,YER011W,0,8.652921,0.0,0.0,0.00010001000191550702
YAR071W,YKL163W,1,7.7971706,0.5,0.0009990009712055326,0.00010001000191550702
YGR282C,YNR044W,1,7.272025,0.6666666865348816,0.001998001942411065,0.00010001000191550702
YBR162C,YMR008C,1,6.455667,0.75,0.0029970030300319195,0.00010001000191550702
YJL079C,YBR093C,1,6.3989983,0.800000011920929,0.00399600388482213,0.00010001000191550702
YJL174W,YBR093C,1,6.353646,0.8333333134651184,0.004995005205273628,0.00010001000191550702
YKL096W-A,YOR010C,1,6.3094387,0.8571428656578064,0.005994006060063839,0.00010001000191550702
YKL163W,YBR162C,1,6.1915054,0.875,0.00699300691485405,0.00010001000191550702
YGR282C,YAR066W,1,6.063633,0.8888888955116272,0.00799200776964426,0.00010001000191550702
YMR006C,YJL079C,1,6.0568833,0.8999999761581421,0.008991008624434471,0.00010001000191550702
YMR008C,YOR009W,1,6.001008,0.9090909361839294,0.009990010410547256,0.00010001000191550702
YLR300W,YOR382W,1,5.9450564,0.9166666865348816,0.010989011265337467,0.00010001000191550702
YMR305C,YDR055W,1,5.9393454,0.9230769276618958,0.011988012120127678,0.00010001000191550702
YNR044W,YLR390W-A,1,5.8812428,0.9285714030265808,0.012987012974917889,0.00010001000191550702
YOR382W,YHR143W,1,5.8555555,0.9333333373069763,0.0139860138297081,0.00010001000191550702
YJL159W,YNR044W,1,5.798523,0.9375,0.01498501468449831,0.00010001000191550702
YKL096W,YAR066W,1,5.7766237,0.9411764740943909,0.01598401553928852,0.00010001000191550702
YLR157C,YJL174W,1,5.75309,0.9444444179534912,0.016983017325401306,0.00010001000191550702
YKL096W,YAR071W,1,5.698357,0.9473684430122375,0.017982017248868942,0.00010001000191550702
YLR155C,YNR044W,1,5.5208135,0.949999988079071,0.018981019034981728,0.00010001000191550702
YBR301W,YMR008C,1,5.509516,0.9523809552192688,0.019980020821094513,0.00010001000191550702
YBR078W,YGR189C,1,5.494618,0.9545454382896423,0.02097902074456215,0.00010001000191550702
YLR157C,YBR093C,1,5.4773808,0.95652174949646,0.021978022530674934,0.00010001000191550702
YLR157C,YDR461W,1,5.454472,0.9583333134651184,0.02297702245414257,0.00010001000191550702
YDR345C,YPR002W,0,5.422136,0.9200000166893005,0.02297702245414257,0.00020002000383101404
YLR160C,YNR044W,1,5.409564,0.9230769276618958,0.023976024240255356,0.00020002000383101404
YMR238W,YDR077W,1,5.3929224,0.9259259104728699,0.024975024163722992,0.00020002000383101404
YDR055W,YNR044W,1,5.37589,0.9285714030265808,0.025974025949835777,0.00020002000383101404
YOR064C,YMR116C,0,5.3517704,0.8965517282485962,0.025974025949835777,0.00030002999119460583
YLR300W,YOR383C,1,5.3318453,0.8999999761581421,0.026973027735948563,0.00030002999119460583
YLR160C,YDR461W,1,5.327903,0.9032257795333862,0.0279720276594162,0.00030002999119460583
YNR044W,YOR247W,1,5.305314,0.90625,0.028971029445528984,0.00030002999119460583
YDR461W,YLR040C,1,5.3004913,0.9090909361839294,0.02997002936899662,0.00030002999119460583
