Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR353W,YIR018W,0,,0.0,0.0,0.00010001000191550702
YDR358W,YPL195W,0,,0.0,0.0,0.00020002000383101404
YML072C,YKL190W,0,,0.0,0.0,0.00030002999119460583
YJL071W,YHR117W,0,,0.0,0.0,0.0004000400076620281
YHR166C,YPL143W,0,,0.0,0.0,0.0005000500241294503
YMR282C,YBR095C,0,,0.0,0.0,0.0006000599823892117
YPR025C,YGR262C,0,,0.0,0.0,0.0007000699988566339
YGL184C,YPR061C,0,,0.0,0.0,0.0008000800153240561
YGL134W,YNL064C,0,,0.0,0.0,0.0009000900317914784
YDR226W,YER165W,0,,0.0,0.0,0.0010001000482589006
YPL038W,YDR330W,0,,0.0,0.0,0.001100110006518662
YEL047C,YNL117W,0,,0.0,0.0,0.0012001199647784233
YLL019C,YDR316W-A,0,,0.0,0.0,0.0013001300394535065
YLR307W,YIL103W,0,,0.0,0.0,0.0014001399977132678
YGR272C,YNL069C,0,,0.0,0.0,0.001500150072388351
YBR210W,YLR219W,0,,0.0,0.0,0.0016001600306481123
YDL104C,YMR306W,0,,0.0,0.0,0.0017001699889078736
YML033W,YGL038C,0,,0.0,0.0,0.0018001800635829568
YDL166C,YBR014C,0,,0.0,0.0,0.0019001900218427181
YLR032W,YDR270W,0,,0.0,0.0,0.0020002000965178013
YDR533C,YER020W,0,,0.0,0.0,0.002100209938362241
YOL065C,YOL088C,0,,0.0,0.0,0.002200220013037324
YIL135C,YKL218C,0,,0.0,0.0,0.002300230087712407
YJL066C,YJL024C,0,,0.0,0.0,0.0024002399295568466
YLR225C,YAL023C,0,,0.0,0.0,0.0025002500042319298
YPL236C,YDR052C,0,,0.0,0.0,0.002600260078907013
YJL166W,YKL173W,0,,0.0,0.0,0.0027002699207514524
YDR403W,YJL050W,0,,0.0,0.0,0.0028002799954265356
YKL065C,YNL124W,0,,0.0,0.0,0.0029002900701016188
YBR282W,YLR423C,0,,0.0,0.0,0.003000300144776702
YML087C,YMR273C,0,,0.0,0.0,0.0031003099866211414
YDR022C,YGL071W,0,,0.0,0.0,0.0032003200612962246
YKL008C,YOR298C-A,0,,0.0,0.0,0.0033003301359713078
YOL017W,YHR101C,0,,0.0,0.0,0.0034003399778157473
YEL060C,YLR301W,0,,0.0,0.0,0.0035003500524908304
YHR175W,YEL064C,0,,0.0,0.0,0.0036003601271659136
