Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR324W,YDR244W,1,6.9741545,1.0,0.0015015015378594398,0.0
YDR244W,YBR168W,1,6.9194975,1.0,0.0030030030757188797,0.0
YDR329C,YDR244W,1,6.6866846,1.0,0.0045045046135783195,0.0
YDR329C,YLR324W,1,6.685232,1.0,0.006006006151437759,0.0
YLR324W,YOL044W,1,6.4833913,1.0,0.007507507689297199,0.0
YDR329C,YBR168W,1,6.274257,1.0,0.009009009227156639,0.0
YDR329C,YDR479C,1,5.8205347,1.0,0.010510510765016079,0.0
YBR168W,YHR160C,1,5.5687866,1.0,0.012012012302875519,0.0
YDR329C,YGL153W,1,5.5263577,1.0,0.013513513840734959,0.0
YCR010C,YHL032C,0,5.4762526,0.8999999761581421,0.013513513840734959,0.00015015015378594398
YBR168W,YOL044W,1,5.448763,0.9090909361839294,0.015015015378594398,0.00015015015378594398
YGL115W,YOL044W,1,5.382058,0.9166666865348816,0.016516515985131264,0.00015015015378594398
YGR077C,YNL214W,1,5.370638,0.9230769276618958,0.018018018454313278,0.00015015015378594398
YAL055W,YDR244W,1,5.3062973,0.9285714030265808,0.019519519060850143,0.00015015015378594398
YNL214W,YDR142C,1,5.201782,0.9333333373069763,0.021021021530032158,0.00015015015378594398
YLR324W,YMR026C,1,5.0362554,0.9375,0.022522522136569023,0.00015015015378594398
YDR244W,YNL214W,1,4.9623814,0.9411764740943909,0.024024024605751038,0.00015015015378594398
YPL123C,YGL153W,0,4.9352913,0.8888888955116272,0.024024024605751038,0.00030030030757188797
YDR244W,YHR160C,1,4.9293747,0.8947368264198303,0.025525525212287903,0.00030030030757188797
YDR329C,YDR142C,1,4.9092073,0.8999999761581421,0.027027027681469917,0.00030030030757188797
YDR479C,YDR244W,1,4.894994,0.9047619104385376,0.028528528288006783,0.00030030030757188797
YDR244W,YDR265W,1,4.8761644,0.9090909361839294,0.030030030757188797,0.00030030030757188797
YLR324W,YMR204C,1,4.798353,0.9130434989929199,0.03153153136372566,0.00030030030757188797
YIL113W,YGL003C,0,4.789468,0.875,0.03153153136372566,0.00045045046135783195
YHR150W,YMR026C,1,4.757932,0.8799999952316284,0.03303303197026253,0.00045045046135783195
YGL153W,YNL214W,1,4.745373,0.8846153616905212,0.03453453630208969,0.00045045046135783195
YBR168W,YDR142C,1,4.7386446,0.8888888955116272,0.036036036908626556,0.00045045046135783195
YLR324W,YDR142C,1,4.7273874,0.8928571343421936,0.03753753751516342,0.00045045046135783195
YDR142C,YOL044W,1,4.6826143,0.8965517282485962,0.03903903812170029,0.00045045046135783195
YDR479C,YDR142C,1,4.6271467,0.8999999761581421,0.04054053872823715,0.00045045046135783195
YDR479C,YBR168W,1,4.544587,0.9032257795333862,0.042042043060064316,0.00045045046135783195
YDR142C,YPR128C,1,4.521731,0.90625,0.04354354366660118,0.00045045046135783195
YKR025W,YNL063W,0,4.492094,0.8787878751754761,0.04354354366660118,0.0006006006151437759
YNL329C,YDR329C,1,4.4875565,0.8823529481887817,0.045045044273138046,0.0006006006151437759
YDR329C,YMR026C,1,4.448881,0.8857142925262451,0.04654654487967491,0.0006006006151437759
YDR329C,YJL210W,1,4.3575406,0.8888888955116272,0.048048049211502075,0.0006006006151437759
YDR329C,YDR265W,1,4.297058,0.8918918967247009,0.04954954981803894,0.0006006006151437759
YDR329C,YHR160C,1,4.262602,0.8947368264198303,0.051051050424575806,0.0006006006151437759
YGL153W,YHR160C,1,4.217931,0.8974359035491943,0.05255255103111267,0.0006006006151437759
YDR244W,YDR142C,1,4.211786,0.8999999761581421,0.054054055362939835,0.0006006006151437759
YPL155C,YLR019W,0,4.1984997,0.8780487775802612,0.054054055362939835,0.0007507507689297199
YDR329C,YOL147C,1,4.1956215,0.8809523582458496,0.0555555559694767,0.0007507507689297199
YDR244W,YJL210W,1,4.194478,0.8837209343910217,0.057057056576013565,0.0007507507689297199
YJR059W,YGL023C,0,4.17151,0.8636363744735718,0.057057056576013565,0.0009009009227156639
