Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR320C,YMR149W,1,5.5776906,1.0,0.0009990009712055326,0.0
YDL193W,YJL183W,1,5.2739234,1.0,0.001998001942411065,0.0
YJL002C,YDL095W,1,4.9065084,1.0,0.0029970030300319195,0.0
YJL002C,YBR243C,1,4.686584,1.0,0.00399600388482213,0.0
YOR067C,YJL183W,1,4.6837687,1.0,0.004995005205273628,0.0
YEL002C,YJL002C,1,4.629367,1.0,0.005994006060063839,0.0
YBR205W,YJL002C,1,4.546889,1.0,0.00699300691485405,0.0
YPL053C,YJL183W,1,4.392759,1.0,0.00799200776964426,0.0
YBR243C,YPL053C,1,4.3324385,1.0,0.008991008624434471,0.0
YPL050C,YJL002C,1,4.167845,1.0,0.009990010410547256,0.0
YBL020W,YJR143C,1,4.1388125,1.0,0.010989011265337467,0.0
YBR243C,YNR030W,1,4.128713,1.0,0.011988012120127678,0.0
YBR205W,YEL002C,1,4.1085434,1.0,0.012987012974917889,0.0
YJL002C,YOR321W,1,4.038087,1.0,0.0139860138297081,0.0
YPL050C,YEL002C,1,4.0165086,1.0,0.01498501468449831,0.0
YGR199W,YML115C,1,4.007534,1.0,0.01598401553928852,0.0
YOR067C,YGL027C,1,3.9738894,1.0,0.016983017325401306,0.0
YOR067C,YBR243C,1,3.9413261,1.0,0.017982017248868942,0.0
YGL022W,YDL093W,1,3.911327,1.0,0.018981019034981728,0.0
YML019W,YMR149W,1,3.900789,1.0,0.019980020821094513,0.0
YOR099W,YGL027C,1,3.886408,1.0,0.02097902074456215,0.0
YPL050C,YDL193W,1,3.8387415,1.0,0.021978022530674934,0.0
YAL023C,YER003C,1,3.8260188,1.0,0.02297702245414257,0.0
YGL022W,YOR321W,1,3.7951672,1.0,0.023976024240255356,0.0
YBR205W,YMR149W,1,3.7741356,1.0,0.024975024163722992,0.0
YMR149W,YNR030W,1,3.7196476,1.0,0.025974025949835777,0.0
YAL023C,YDL095W,1,3.708383,1.0,0.026973027735948563,0.0
YML115C,YDL095W,1,3.6890128,1.0,0.0279720276594162,0.0
YBR205W,YNR030W,1,3.6805534,1.0,0.028971029445528984,0.0
YJR143C,YNR030W,1,3.658957,1.0,0.02997002936899662,0.0
YBR015C,YJR143C,1,3.6455894,1.0,0.030969031155109406,0.0
YBR015C,YDR483W,1,3.643842,1.0,0.03196803107857704,0.0
YJL002C,YBL020W,1,3.6337461,1.0,0.032967034727334976,0.0
YOR002W,YMR149W,1,3.582994,1.0,0.03396603465080261,0.0
YOR099W,YBR015C,1,3.5773861,1.0,0.03496503457427025,0.0
YBR243C,YMR149W,1,3.576499,1.0,0.035964034497737885,0.0
YPL227C,YER001W,1,3.5318723,1.0,0.03696303814649582,0.0
YEL042W,YPL053C,1,3.502953,1.0,0.037962038069963455,0.0
YJR143C,YOR103C,1,3.4807324,1.0,0.03896103799343109,0.0
YDL193W,YOR085W,1,3.4045238,1.0,0.039960041642189026,0.0
YJL183W,YNL048W,1,3.3936718,1.0,0.04095904156565666,0.0
YBR205W,YDL193W,1,3.382108,1.0,0.0419580414891243,0.0
YDR483W,YJR143C,1,3.368942,1.0,0.042957041412591934,0.0
YOR321W,YJR131W,1,3.355903,1.0,0.04395604506134987,0.0
YJL002C,YPR183W,1,3.3373194,1.0,0.044955044984817505,0.0
YGL225W,YOR067C,1,3.3223538,1.0,0.04595404490828514,0.0
YOR321W,YOR085W,1,3.309675,1.0,0.046953048557043076,0.0
YOR099W,YIL085C,1,3.3034284,1.0,0.04795204848051071,0.0
YKL135C,YGR037C,0,3.3021553,0.9795918464660645,0.04795204848051071,0.00010001000191550702
YMR149W,YJR143C,1,3.282352,0.9800000190734863,0.04895104840397835,0.00010001000191550702
YPL227C,YOR067C,1,3.2643507,0.9803921580314636,0.049950048327445984,0.00010001000191550702
YGR199W,YJL002C,1,3.2526958,0.9807692170143127,0.05094905197620392,0.00010001000191550702
YDR212W,YER005W,0,3.2033362,0.9622641801834106,0.05094905197620392,0.00020002000383101404
YBR205W,YOR085W,1,3.1990516,0.9629629850387573,0.051948051899671555,0.00020002000383101404
YGL027C,YDL093W,1,3.195818,0.9636363387107849,0.05294705182313919,0.00020002000383101404
YNL219C,YPL053C,1,3.182794,0.9642857313156128,0.053946055471897125,0.00020002000383101404
YAL023C,YEL002C,1,3.1761239,0.9649122953414917,0.05494505539536476,0.00020002000383101404
YPL050C,YMR013C,1,3.1202426,0.9655172228813171,0.0559440553188324,0.00020002000383101404
YDR483W,YJL183W,1,3.1139553,0.9661017060279846,0.056943055242300034,0.00020002000383101404
YER003C,YDL095W,1,3.113945,0.9666666388511658,0.05794205889105797,0.00020002000383101404
YPL050C,YBR243C,1,3.1116178,0.9672130942344666,0.058941058814525604,0.00020002000383101404
YOR067C,YDL093W,1,3.109592,0.9677419066429138,0.05994005873799324,0.00020002000383101404
YDL193W,YDL095W,1,3.1035705,0.9682539701461792,0.060939062386751175,0.00020002000383101404
YPL227C,YDL055C,1,3.1027637,0.96875,0.06193806231021881,0.00020002000383101404
YER006W,YEL051W,0,3.0957892,0.9538461565971375,0.06193806231021881,0.00030002999119460583
YMR153W,YIL124W,0,3.080892,0.939393937587738,0.06193806231021881,0.0004000400076620281
