Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPR095C,YER008C,1,1.3722085,1.0,0.0010000000474974513,0.0
YDR166C,YER008C,1,0.86973375,1.0,0.0020000000949949026,0.0
YPR005C,YGR283C,0,0.8399054,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YPL130W,YKR046C,0,0.8223577,0.5,0.0020000000949949026,0.00019999999494757503
YJL035C,YOR347C,0,0.81580883,0.4000000059604645,0.0020000000949949026,0.0003000000142492354
YLL024C,YPR124W,0,0.8060853,0.3333333432674408,0.0020000000949949026,0.00039999998989515007
YLR385C,YGL125W,0,0.7946132,0.2857142984867096,0.0020000000949949026,0.0005000000237487257
YNL055C,YBL078C,0,0.76300055,0.25,0.0020000000949949026,0.0006000000284984708
YDR025W,YOL121C,0,0.7583352,0.2222222238779068,0.0020000000949949026,0.000699999975040555
YGR220C,YHR005C,0,0.7558576,0.20000000298023224,0.0020000000949949026,0.0007999999797903001
YOR269W,YOR178C,0,0.7518297,0.1818181872367859,0.0020000000949949026,0.0008999999845400453
YFR044C,YOL060C,0,0.7339047,0.1666666716337204,0.0020000000949949026,0.0010000000474974513
YHR063C,YBR286W,0,0.7031991,0.1538461595773697,0.0020000000949949026,0.0010999999940395355
YHR136C,YGL198W,0,0.6925047,0.1428571492433548,0.0020000000949949026,0.0012000000569969416
YMR192W,YER008C,1,0.6878028,0.20000000298023224,0.003000000026077032,0.0012000000569969416
YMR292W,YHR021C,0,0.6872545,0.1875,0.003000000026077032,0.0013000000035390258
YIL063C,YKR007W,0,0.68518037,0.1764705926179886,0.003000000026077032,0.00139999995008111
YEL013W,YBL087C,0,0.6829138,0.1666666716337204,0.003000000026077032,0.001500000013038516
YNL101W,YGR234W,0,0.6819262,0.15789473056793213,0.003000000026077032,0.0015999999595806003
YIR028W,YLR418C,0,0.68054533,0.15000000596046448,0.003000000026077032,0.0017000000225380063
YJL028W,YDL117W,0,0.6774481,0.1428571492433548,0.003000000026077032,0.0017999999690800905
YPL258C,YMR201C,0,0.67077225,0.13636364042758942,0.003000000026077032,0.0019000000320374966
YGR008C,YJR067C,0,0.6701384,0.1304347813129425,0.003000000026077032,0.0020000000949949026
YDR533C,YER007C-A,0,0.66662157,0.125,0.003000000026077032,0.002099999925121665
YKL156W,YHR141C,0,0.6661714,0.11999999731779099,0.003000000026077032,0.002199999988079071
YIL038C,YKR013W,0,0.66419667,0.11538461595773697,0.003000000026077032,0.002300000051036477
YKL194C,YOR335C,0,0.66368043,0.1111111119389534,0.003000000026077032,0.002400000113993883
YOR224C,YOR132W,0,0.6631932,0.1071428582072258,0.003000000026077032,0.0024999999441206455
YJL057C,YBR239C,0,0.6630753,0.1034482792019844,0.003000000026077032,0.0026000000070780516
YBR158W,YDL105W,0,0.66254634,0.10000000149011612,0.003000000026077032,0.0027000000700354576
YPL280W,YOL031C,0,0.6587178,0.09677419066429138,0.003000000026077032,0.00279999990016222
YHR026W,YDR148C,0,0.6561157,0.09375,0.003000000026077032,0.002899999963119626
YLR188W,YJR059W,0,0.6548367,0.09090909361839294,0.003000000026077032,0.003000000026077032
YGL191W,YDR104C,0,0.65355104,0.0882352963089943,0.003000000026077032,0.003100000089034438
YOR295W,YBR299W,0,0.6508327,0.08571428805589676,0.003000000026077032,0.0031999999191612005
